Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
24,0.003272492347489368,-0.001090830782496456,0.0,0.02,0.03,9.81,17.0625,10.5625,-52.375,1744474917.1516764
25,0.0,0.001090830782496456,0.001090830782496456,0.01,0.0,9.790000000000001,17.0625,10.5625,-52.375,1744474917.1714237
26,0.001090830782496456,0.001090830782496456,0.0,0.01,0.01,9.8,17.0625,10.5625,-52.375,1744474917.1888118
27,-0.001090830782496456,0.0,0.0,0.02,0.01,9.81,16.75,10.5625,-52.375,1744474917.2116292
28,0.001090830782496456,0.0,-0.003272492347489368,0.03,0.02,9.790000000000001,16.75,10.5625,-52.375,1744474917.2319922
29,0.002181661564992912,0.002181661564992912,-0.002181661564992912,0.01,0.01,9.83,16.0625,10.1875,-52.375,1744474917.253015
30,0.001090830782496456,0.0,0.001090830782496456,0.01,0.02,9.81,16.0625,10.1875,-52.375,1744474917.2731621
31,0.003272492347489368,-0.004363323129985824,0.0,0.0,0.0,9.78,16.375,10.1875,-52.375,1744474917.293157
32,-0.001090830782496456,0.003272492347489368,-0.002181661564992912,0.03,0.04,9.78,16.375,10.1875,-52.375,1744474917.314091
33,0.0,-0.001090830782496456,0.002181661564992912,0.02,0.02,9.81,16.375,10.1875,-52.375,1744474917.341416
34,-0.002181661564992912,0.004363323129985824,0.001090830782496456,0.03,0.02,9.8,16.75,10.5625,-51.5,1744474917.3537486
35,0.001090830782496456,0.002181661564992912,0.002181661564992912,0.01,0.02,9.790000000000001,16.75,10.5625,-51.5,1744474917.375688
36,-0.001090830782496456,0.0,0.002181661564992912,0.02,0.02,9.83,16.75,10.875,-53.1875,1744474917.3948123
37,-0.003272492347489368,0.002181661564992912,0.002181661564992912,0.0,0.03,9.8,16.75,10.875,-53.1875,1744474917.4176903
38,0.0,0.001090830782496456,0.001090830782496456,0.02,0.03,9.82,16.75,10.875,-53.1875,1744474917.4361808
39,0.0,-0.001090830782496456,0.001090830782496456,0.03,0.01,9.81,16.375,10.5625,-52.375,1744474917.4556193
40,-0.001090830782496456,0.0,0.001090830782496456,0.02,0.03,9.81,16.375,10.5625,-52.375,1744474917.475162
41,0.0,0.0,0.0,0.04,0.04,9.790000000000001,18.25,11.25,-52.0,1744474917.4966776
42,-0.002181661564992912,0.001090830782496456,0.001090830782496456,0.01,0.0,9.8,18.25,11.25,-52.0,1744474917.515307
43,-0.001090830782496456,-0.001090830782496456,0.0,0.03,0.01,9.790000000000001,18.25,11.25,-52.0,1744474917.5365736
44,0.0,0.001090830782496456,0.001090830782496456,0.02,0.02,9.790000000000001,16.75,10.1875,-51.1875,1744474917.5600102
45,-0.001090830782496456,0.001090830782496456,0.002181661564992912,0.01,0.01,9.790000000000001,16.75,10.1875,-51.1875,1744474917.5768163
46,0.0,-0.001090830782496456,-0.001090830782496456,0.0,0.02,9.81,16.0625,9.5,-52.375,1744474917.5969768
47,-0.002181661564992912,-0.001090830782496456,0.0,0.0,0.01,9.8,16.0625,9.5,-52.375,1744474917.6210918
48,-0.001090830782496456,0.0,0.0,0.02,0.03,9.790000000000001,16.0625,9.5,-52.375,1744474917.6360102
49,-0.001090830782496456,0.002181661564992912,0.001090830782496456,0.03,0.03,9.8,16.75,10.875,-52.6875,1744474917.6587534
50,-0.002181661564992912,0.002181661564992912,0.0,0.02,0.0,9.78,16.75,10.875,-52.6875,1744474917.6785944
51,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,0.02,0.04,9.78,16.75,10.1875,-52.375,1744474917.699921
52,-0.001090830782496456,0.0,-0.001090830782496456,0.02,0.01,9.78,16.75,10.1875,-52.375,1744474917.7184238
53,-0.001090830782496456,-0.002181661564992912,0.002181661564992912,0.01,0.01,9.78,16.75,10.1875,-52.375,1744474917.7370512
54,0.0,0.0,-0.002181661564992912,0.02,0.03,9.82,16.375,10.875,-52.375,1744474917.7611504
55,-0.001090830782496456,-0.001090830782496456,0.002181661564992912,0.02,0.0,9.78,16.375,10.875,-52.375,1744474917.7825801
56,0.0,-0.001090830782496456,0.001090830782496456,0.03,0.03,9.81,16.0625,10.1875,-52.375,1744474917.8009605
57,0.0,0.0,0.003272492347489368,0.02,0.04,9.78,16.0625,10.1875,-52.375,1744474917.8205454
58,0.001090830782496456,0.001090830782496456,0.0,0.01,0.02,9.82,16.0625,10.1875,-52.375,1744474917.838549
59,0.001090830782496456,0.002181661564992912,0.0,0.05,0.03,9.8,16.375,10.875,-51.5625,1744474917.8623838
60,0.0,0.001090830782496456,0.0,0.02,0.04,9.790000000000001,16.375,10.875,-51.5625,1744474917.8822324
61,0.0,0.001090830782496456,0.001090830782496456,0.01,0.03,9.790000000000001,16.75,10.875,-52.0,1744474917.9024465
62,0.002181661564992912,0.0,0.0,0.0,0.01,9.78,16.75,10.875,-52.0,1744474917.9225314
63,0.001090830782496456,0.0,-0.001090830782496456,0.02,0.03,9.8,16.75,10.875,-52.0,1744474917.9406545
64,0.0,0.0,-0.001090830782496456,0.01,0.0,9.8,17.0625,10.1875,-53.1875,1744474917.9632018
