Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
0,-0.04799655442984406,0.05890486225480862,-0.10253809355466686,-0.06,0.11,9.73,71.0,-38.0625,-68.875,1745374413.4578555
1,-0.06872233929727672,-0.06872233929727672,-0.1189005552921137,0.14,-0.18,9.700000000000001,70.25,-38.875,-68.875,1745374413.474638
2,0.003272492347489368,0.0916297857297023,-0.09817477042468103,-0.9,0.09,9.74,70.25,-38.875,-68.875,1745374413.4957235
3,0.0719948316447661,-0.001090830782496456,-0.038179077387375956,-1.18,0.09,9.700000000000001,67.375,-36.6875,-67.6875,1745374413.516208
4,0.06872233929727672,0.031634092692397225,-0.07526732399225546,0.38,0.05,9.52,67.375,-36.6875,-67.6875,1745374413.5356104
5,0.020725784867432664,-0.08399397025222712,0.008726646259971648,-0.6,-0.05,10.4,67.375,-36.6875,-67.6875,1745374413.5580075
6,0.050178215994836975,0.11671889372712078,-0.04799655442984406,-1.11,0.07,9.93,69.875,-36.6875,-69.25,1745374413.5751424
7,0.04908738521234052,-0.019634954084936207,0.0,-0.4,0.01,9.81,69.875,-36.6875,-69.25,1745374413.59557
8,0.0916297857297023,0.019634954084936207,-0.03490658503988659,0.13,0.0,9.68,70.25,-38.0625,-69.6875,1745374413.6149545
9,0.08508480103472356,0.022907446432425576,-0.06872233929727672,-0.87,0.08,10.1,70.25,-38.0625,-69.6875,1745374413.635711
10,0.0818123086872342,-0.016362461737446838,-0.04363323129985824,0.0,0.18,9.72,70.25,-38.0625,-69.6875,1745374413.655961
11,0.08399397025222712,-0.09490227807719166,-0.002181661564992912,-0.6900000000000001,0.3,9.92,68.75,-37.75,-66.875,1745374413.6754935
12,0.04254240051736178,-0.031634092692397225,-0.03599741582238305,-0.65,0.28,9.75,68.75,-37.75,-66.875,1745374413.6956296
13,0.011999138607461015,-0.05345070834232634,-0.04799655442984406,-0.33,0.15,9.9,69.5625,-37.0625,-68.875,1745374413.7152548
14,-0.03381575425739013,0.008726646259971648,-0.07090400086226964,-0.29,0.06,9.76,69.5625,-37.0625,-68.875,1745374413.735832
15,-0.003272492347489368,0.018544123302439753,-0.044724062082354694,-0.21,0.12,9.91,69.5625,-37.0625,-68.875,1745374413.7561948
16,0.011999138607461015,0.013089969389957472,-0.037088246604879506,-0.25,0.15,9.88,69.875,-37.75,-69.25,1745374413.7757282
17,0.026179938779914945,-0.014180800172453928,-0.04690572364734761,-0.58,0.28,9.72,69.875,-37.75,-69.25,1745374413.7958956
18,0.017453292519943295,-0.020725784867432664,-0.05235987755982989,-0.19,0.19,9.74,67.6875,-37.75,-68.875,1745374413.8157182
19,-0.004363323129985824,0.05126904677733343,-0.03490658503988659,0.36,0.22,9.77,67.6875,-37.75,-68.875,1745374413.8357525
20,-0.06544984694978735,-0.0272707695624114,-0.019634954084936207,1.78,0.15,9.74,67.6875,-37.75,-68.875,1745374413.8562348
21,-0.05781403147231216,-0.1189005552921137,0.004363323129985824,1.1400000000000001,0.02,9.620000000000001,69.1875,-36.0,-68.5,1745374413.8765101
22,-0.002181661564992912,-0.22580197197676638,0.06981317007977318,-1.12,0.06,9.99,69.1875,-36.0,-68.5,1745374413.8959467
23,0.007635815477475192,-0.09926560120717749,-0.008726646259971648,-1.6600000000000001,0.15,9.99,69.875,-36.25,-70.0625,1745374413.9158409
24,-0.04908738521234052,0.11562806294462433,-0.13962634015954636,-0.03,0.08,9.540000000000001,69.875,-36.25,-70.0625,1745374413.935998
25,0.032724923474893676,-0.10471975511965978,0.04145156973486533,-3.25,0.17,10.17,69.875,-36.25,-70.0625,1745374413.9567952
26,0.16907877128695067,0.09708393964218458,0.03599741582238305,1.1400000000000001,0.27,9.39,68.0625,-36.6875,-70.0625,1745374413.9767902
27,0.12544553998709243,-0.33052172709642613,0.07308566242726255,-3.54,0.09,10.84,68.0625,-36.6875,-70.0625,1745374413.9972107
28,0.04254240051736178,0.04690572364734761,-0.16144295580947549,-1.12,0.15,9.97,67.375,-36.25,-67.6875,1745374414.0163376
29,0.0545415391248228,0.04036073895236887,-0.18980455615438332,-0.46,0.07,9.78,67.375,-36.25,-67.6875,1745374414.036397
30,0.14180800172453928,0.0,-0.16689710972195776,-0.14,0.14,9.81,67.375,-36.25,-67.6875,1745374414.056857
31,0.14289883250703572,-0.07744898555724837,-0.20725784867432664,-0.47000000000000003,0.23,9.99,68.75,-36.0,-71.25,1745374414.077776
32,0.15162547876700738,-0.08726646259971647,-0.20943951023931956,0.32,0.26,9.5,68.75,-36.0,-71.25,1745374414.098367
33,0.136353847812057,-0.1090830782496456,-0.16035212502697901,-0.2,0.53,9.69,67.6875,-36.25,-71.25,1745374414.1167397
34,0.05126904677733343,-0.07417649320975901,-0.055632369907319255,-0.39,0.52,9.790000000000001,67.6875,-36.25,-71.25,1745374414.1377382
35,-0.09490227807719166,-0.016362461737446838,-0.05672320068981571,-0.19,0.45,9.89,67.6875,-36.25,-71.25,1745374414.157395
36,-0.16580627893946132,-0.037088246604879506,-0.031634092692397225,-0.08,0.27,9.82,67.6875,-36.0,-67.6875,1745374414.1839406
37,-0.16907877128695067,-0.04799655442984406,-0.004363323129985824,-0.07,0.2,9.85,67.6875,-36.0,-67.6875,1745374414.203557
38,-0.12544553998709243,-0.03381575425739013,0.003272492347489368,-0.03,0.15,9.71,69.1875,-35.5625,-70.1875,1745374414.220467
39,-0.07417649320975901,-0.004363323129985824,0.013089969389957472,-0.03,0.23,9.82,69.1875,-35.5625,-70.1875,1745374414.2429156
40,-0.08944812416470939,0.016362461737446838,0.006544984694978736,-0.07,0.21,9.84,69.1875,-35.5625,-70.1875,1745374414.2604187
41,-0.10362892433716332,0.025089107997418487,0.001090830782496456,-0.08,0.11,9.84,67.375,-34.875,-70.875,1745374414.2829585
42,-0.08726646259971647,0.0272707695624114,0.004363323129985824,-0.14,0.11,9.84,67.375,-34.875,-70.875,1745374414.3037457
43,-0.050178215994836975,0.025089107997418487,-0.003272492347489368,-0.19,0.14,9.85,67.375,-34.875,-69.25,1745374414.3204808
44,-0.018544123302439753,-0.003272492347489368,-0.00545415391248228,-0.13,0.15,9.870000000000001,67.375,-34.875,-69.25,1745374414.3431103
45,0.003272492347489368,-0.013089969389957472,-0.002181661564992912,-0.1,0.23,9.84,68.0625,-34.0625,-69.6875,1745374414.362583
46,-0.04363323129985824,-0.022907446432425576,0.0,-0.09,0.21,9.82,68.0625,-34.0625,-69.6875,1745374414.3832612
47,-0.11453723216212788,-0.015271630954950384,-0.004363323129985824,-0.09,0.17,9.84,68.0625,-34.0625,-69.6875,1745374414.4037948
48,-0.15926129424448257,-0.011999138607461015,-0.009817477042468103,-0.08,0.04,9.870000000000001,68.75,-36.0,-72.0625,1745374414.420951
49,-0.1341721862470641,-0.01090830782496456,-0.01090830782496456,-0.06,0.0,9.86,68.75,-36.0,-72.0625,1745374414.4433303
50,-0.06872233929727672,-0.011999138607461015,-0.006544984694978736,-0.03,0.0,9.78,68.75,-36.0,-72.0625,1745374414.4616084
51,-0.004363323129985824,0.004363323129985824,-0.008726646259971648,-0.04,0.04,9.82,67.375,-34.5,-70.0625,1745374414.4846175
52,0.039269908169872414,0.02399827721492203,-0.013089969389957472,-0.05,0.0,9.89,67.375,-34.5,-70.0625,1745374414.5039818
53,0.06326818538479445,0.022907446432425576,-0.016362461737446838,-0.03,0.01,9.870000000000001,67.6875,-34.0625,-71.25,1745374414.5226018
54,0.06872233929727672,0.009817477042468103,-0.004363323129985824,-0.12,0.07,9.85,67.6875,-34.0625,-71.25,1745374414.5436757
55,0.055632369907319255,0.01090830782496456,-0.004363323129985824,-0.12,0.05,9.76,69.875,-35.25,-71.6875,1745374414.5624638
56,0.09708393964218458,0.0272707695624114,0.002181661564992912,-0.08,0.23,9.83,69.875,-35.25,-71.6875,1745374414.585854
57,0.08617563181722002,0.02399827721492203,0.0,-0.14,0.23,9.89,69.875,-35.25,-71.6875,1745374414.605313
58,0.009817477042468103,0.00545415391248228,-0.008726646259971648,-0.17,0.12,9.86,67.6875,-35.25,-69.25,1745374414.627308
59,0.00545415391248228,-0.022907446432425576,-0.00545415391248228,-0.13,0.17,9.89,67.6875,-35.25,-69.25,1745374414.6448097
60,-0.007635815477475192,-0.02945243112740431,-0.003272492347489368,-0.05,0.13,9.83,69.1875,-34.0625,-71.25,1745374414.6645484
61,-0.05345070834232634,-0.05126904677733343,-0.001090830782496456,-0.05,0.12,9.78,69.1875,-34.0625,-71.25,1745374414.6850984
62,-0.02945243112740431,-0.032724923474893676,-0.006544984694978736,-0.06,0.04,9.700000000000001,69.1875,-34.0625,-71.25,1745374414.7058773
63,0.050178215994836975,0.002181661564992912,-0.008726646259971648,-0.03,0.12,9.83,69.1875,-34.5,-71.375,1745374414.7251706
64,0.08944812416470939,0.03599741582238305,-0.007635815477475192,-0.06,0.14,9.89,69.1875,-34.5,-71.375,1745374414.7451057
65,0.07417649320975901,0.04254240051736178,-0.011999138607461015,-0.11,0.11,9.8,67.375,-34.875,-69.25,1745374414.7650826
66,0.07635815477475191,0.039269908169872414,-0.007635815477475192,-0.15,0.23,9.84,67.375,-34.875,-69.25,1745374414.7851138
67,0.04036073895236887,0.008726646259971648,-0.004363323129985824,-0.17,0.32,9.84,67.375,-34.875,-69.25,1745374414.8096192
68,-0.039269908169872414,-0.02399827721492203,-0.004363323129985824,-0.11,0.28,9.92,68.0625,-33.75,-69.25,1745374414.8315113
69,-0.09490227807719166,-0.03381575425739013,0.00545415391248228,-0.03,0.22,9.92,68.0625,-33.75,-69.25,1745374414.8513412
70,-0.1505346479845109,-0.039269908169872414,0.004363323129985824,-0.1,0.15,9.83,69.1875,-34.5,-72.5,1745374414.8688245
71,-0.18544123302439752,-0.044724062082354694,-0.002181661564992912,-0.15,0.08,9.83,69.1875,-34.5,-72.5,1745374414.8914938
72,-0.19634954084936207,-0.06981317007977318,-0.007635815477475192,-0.07,-0.06,9.94,69.1875,-34.5,-72.5,1745374414.9085627
73,-0.14180800172453928,-0.09053895494720585,-0.00545415391248228,0.0,-0.12,9.83,68.0625,-34.5,-69.6875,1745374414.9308796
74,-0.018544123302439753,-0.08399397025222712,0.013089969389957472,0.0,0.01,9.700000000000001,68.0625,-34.5,-69.6875,1745374414.9516501
75,0.020725784867432664,-0.025089107997418487,0.022907446432425576,0.04,0.15,9.69,67.6875,-33.0625,-70.0625,1745374414.969111
76,-0.03381575425739013,-0.004363323129985824,0.008726646259971648,0.0,0.11,9.85,67.6875,-33.0625,-70.0625,1745374414.9924285
77,-0.12762720155208535,0.013089969389957472,-0.003272492347489368,0.0,0.0,9.84,67.6875,-33.0625,-70.0625,1745374415.0089657
78,-0.12980886311707826,0.0,0.003272492347489368,-0.11,-0.04,9.85,68.75,-34.0625,-72.875,1745374415.0312524
79,-0.10690141668465268,-0.037088246604879506,0.008726646259971648,-0.14,0.02,9.8,68.75,-34.0625,-72.875,1745374415.052095
80,-0.1189005552921137,-0.022907446432425576,0.032724923474893676,0.04,-0.06,9.72,67.0,-33.75,-70.875,1745374415.0694077
81,-0.136353847812057,-0.003272492347489368,0.017453292519943295,0.08,-0.16,9.9,67.0,-33.75,-70.875,1745374415.0924685
82,-0.08726646259971647,0.015271630954950384,-0.004363323129985824,0.02,-0.18,9.91,67.0,-33.75,-70.875,1745374415.1093442
83,-0.04145156973486533,0.006544984694978736,-0.002181661564992912,-0.02,-0.15,9.870000000000001,67.6875,-32.6875,-71.6875,1745374415.1321344
84,0.02399827721492203,0.003272492347489368,-0.004363323129985824,-0.03,-0.17,9.76,67.6875,-32.6875,-71.6875,1745374415.1525834
85,0.07526732399225546,0.0272707695624114,-0.006544984694978736,-0.01,-0.1,9.85,69.5625,-33.375,-73.375,1745374415.1709237
86,0.08617563181722002,0.03381575425739013,-0.006544984694978736,-0.01,-0.03,9.790000000000001,69.5625,-33.375,-73.375,1745374415.1928637
87,0.09708393964218458,0.02945243112740431,-0.008726646259971648,-0.05,0.0,9.83,69.5625,-33.375,-73.375,1745374415.2114513
88,0.05999569303730508,0.018544123302439753,-0.01090830782496456,-0.09,0.03,9.83,67.6875,-33.375,-71.375,1745374415.2326806
89,-0.01090830782496456,0.003272492347489368,-0.011999138607461015,-0.02,0.0,10.07,67.6875,-33.375,-71.375,1745374415.2527473
90,-0.04908738521234052,-0.022907446432425576,-0.011999138607461015,-0.02,-0.1,9.790000000000001,67.6875,-33.0625,-70.0625,1745374415.2717228
91,-0.015271630954950384,-0.020725784867432664,0.002181661564992912,-0.32,0.09,9.8,67.6875,-33.0625,-70.0625,1745374415.2926304
92,-0.013089969389957472,0.02945243112740431,0.016362461737446838,0.31,-0.03,9.68,69.875,-34.0625,-72.5,1745374415.3119354
93,-0.08399397025222712,-0.013089969389957472,-0.01090830782496456,-0.03,-0.09,9.88,69.875,-34.0625,-72.5,1745374415.3331926
94,-0.09708393964218458,-0.02181661564992912,-0.02399827721492203,0.01,-0.18,9.84,69.875,-34.0625,-72.5,1745374415.3532586
95,-0.018544123302439753,-0.02181661564992912,-0.007635815477475192,-0.01,-0.08,9.83,68.0625,-34.5,-71.375,1745374415.3734517
96,0.007635815477475192,-0.022907446432425576,-0.00545415391248228,-0.07,-0.1,9.82,68.0625,-34.5,-71.375,1745374415.3932781
97,0.007635815477475192,-0.0545415391248228,0.0,-0.65,0.04,9.85,67.375,-33.0625,-71.6875,1745374415.413565
98,0.028361600344907856,0.044724062082354694,0.009817477042468103,0.48,-0.15,9.66,67.375,-33.0625,-71.6875,1745374415.4334729
99,0.003272492347489368,-0.03381575425739013,-0.002181661564992912,-0.5700000000000001,0.12,9.85,67.375,-33.0625,-71.6875,1745374415.4533854
100,-0.02399827721492203,0.07744898555724837,0.003272492347489368,-0.01,-0.09,9.790000000000001,69.1875,-33.0625,-72.875,1745374415.472851
101,-0.06435901616729091,0.022907446432425576,-0.013089969389957472,0.05,0.02,10.11,69.1875,-33.0625,-72.875,1745374415.4933553
102,-0.1439896632895322,0.19744037163185854,-0.06217735460229799,-0.25,-0.21,9.59,68.375,-33.75,-71.375,1745374415.513237
103,-0.18653206380689397,0.13199052468207118,-0.055632369907319255,0.25,-0.28,10.02,68.375,-33.75,-71.375,1745374415.533652
104,-0.05890486225480862,0.19198621771937624,-0.04036073895236887,-0.15,-0.33,9.89,68.375,-33.75,-71.375,1745374415.553774
105,0.061086523819801536,0.10581058590215622,-0.0272707695624114,-0.12,-0.25,9.92,68.0625,-32.6875,-71.375,1745374415.5731673
