Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
87,80.9375,-30.4375,-2,-2.2,3.23,8.85,0,0,0
88,70.875,-31.4375,-2.125,-2.13,3.48,8.8,0,0,0
89,46.75,-28.5625,-0.9375,-1.78,3.87,8.85,0,0,0
90,10.8125,-25.6875,5.8125,-1.36,3.72,9.15,0,0,0
91,-8.6875,-23.25,8.875,-1.37,3.57,8.92,0,0,0
92,-30.125,-17.8125,7.4375,-1.88,2.97,8.23,0,0,0
93,-32.25,-18.75,3.1875,-1.69,3.55,8.7,0,0,0
94,-34,-21.5625,4.625,-1.49,3.85,9.09,0,0,0
95,-57.625,-31.125,16.125,-1.28,4.22,9.81,0,0,0
96,-106,-38.5625,26.9375,-1.43,3.84,9.98,0,0,0
97,-129.25,-37.6875,28.3125,-1.58,3.22,9.52,0,0,0
98,-164.25,-32.875,26.0625,-1.38,2.88,8.92,0,0,0
99,-171.25,-30.375,25.625,-1.23,2.43,8.68,0,0,0
100,-162.3125,-31.6875,32.8125,-1.6,1.5,8.03,0,0,0
101,-152.0625,-41.875,39.125,-1.72,1.12,7.72,0,0,0
102,-118.8125,-58.375,51.6875,-0.8,0.66,7.79,0,0,0
103,-98.4375,-58,58.875,0.11,0.22,7.98,0,0,0
104,-57.0625,-40.6875,71.875,0.21,-0.02,8.48,0,0,0
105,-39.1875,-32.5625,78.875,-1.13,-0.25,9.66,0,0,0
106,-44,-35.25,76.625,-1.55,-0.41,9.94,0,0,0
107,-77.3125,-49.4375,59.75,-1.03,-0.58,9.88,0,0,0
108,-98.75,-55.125,50.375,-0.37,-0.85,9.65,0,0,0
109,-121.6875,-46.3125,41.125,0.72,-2.16,7.67,0,0,0
110,-94.5,-22.875,35.0625,0.82,-2.4,7.42,0,0,0
111,-75.1875,-14.75,33,0.48,-2.23,8.25,0,0,0
112,-57.8125,-15,28.6875,-0.21,-1.89,9.09,0,0,0
113,-59.375,-21.875,23.25,-0.28,-1.75,9.11,0,0,0
114,-62.3125,-23.6875,21.0625,0.31,-1.79,8.5,0,0,0
115,-60.8125,-15.5,23.5625,0.78,-2.49,7.82,0,0,0
116,-49.8125,-3.125,25.0625,0.6,-2.76,7.48,0,0,0
117,-16.375,17.125,27.1875,0.4,-2.58,8.01,0,0,0
118,3.875,22.5,31.0625,-0.07,-1.88,8.76,0,0,0
119,5.3125,21.4375,33,-0.17,-1.81,8.9,0,0,0
120,-5.9375,17.625,36.3125,-0.23,-1.57,9.2,0,0,0
121,-33.75,15.4375,39.0625,-0.22,-1.62,9.1,0,0,0
122,-47.8125,15,41.0625,-0.17,-1.82,8.77,0,0,0
123,-50.0625,25.9375,48.0625,0.35,-3.4,7.49,0,0,0
124,-7.25,45.375,53.3125,0.21,-3.7,7.18,0,0,0
125,16.1875,52.875,51.6875,-0.75,-3.38,8.54,0,0,0
126,20.625,54.0625,43.5,-0.84,-2.93,9.8,0,0,0
127,-14.1875,53.4375,33,-0.96,-2.85,10.22,0,0,0
128,-29.6875,49.375,29.75,-0.49,-3.37,9.31,0,0,0
129,-27.4375,53.875,27.375,-0.71,-4.24,8.21,0,0,0
130,-12.1875,58.3125,26.375,-0.96,-4.43,8.01,0,0,0
131,31.5,65.9375,19.4375,-1.65,-4.24,8.67,0,0,0
132,61.1875,65.5625,6.6875,-1.6,-3.62,9.37,0,0,0
133,64.5,64.1875,0.625,-1.57,-3.26,9.73,0,0,0
134,49.3125,59.1875,-8.125,-1.85,-2.71,10.36,0,0,0
135,36.625,56.1875,-12.375,-2.03,-2.78,10.31,0,0,0
136,17.4375,45.375,-22.5,-2.48,-2.82,10.05,0,0,0
137,12.3125,37.625,-28.1875,-2.55,-2.82,10,0,0,0
138,13,28.3125,-36.0625,-2.46,-2.59,9.59,0,0,0
139,24.4375,23.375,-39.0625,-2.38,-2.45,9.4,0,0,0
140,31.75,22.5,-40.125,-2.26,-2.31,9.4,0,0,0
141,42.4375,18.625,-40.3125,-2.4,-2.23,9.26,0,0,0
142,48.1875,17.3125,-40.625,-2.54,-2.34,9.19,0,0,0
143,56.9375,14.75,-46.0625,-2.54,-2.19,9.72,0,0,0
144,51.625,14.1875,-53.375,-2.65,-2,9.93,0,0,0
145,45.1875,11.5,-56.8125,-2.79,-1.85,9.85,0,0,0
146,39.25,2.8125,-61.4375,-2.81,-1.78,9.46,0,0,0
147,41.0625,-0.625,-64.1875,-2.82,-1.68,9.12,0,0,0
148,49.1875,-2.0625,-68.6875,-2.68,-1.74,9.01,0,0,0
149,59.4375,3.75,-74.625,-3.14,-1.75,8.99,0,0,0
150,64.3125,3.625,-78.4375,-3.02,-1.47,9.08,0,0,0
151,72.1875,-2,-83.4375,-2.71,-1.11,9.15,0,0,0
152,75.4375,-9.25,-80.8125,-2.55,-1.33,9.02,0,0,0
153,79.1875,-6.5,-79.8125,-2.56,-1.28,9,0,0,0
154,82.75,-1.8125,-84,-2.85,-0.77,9.16,0,0,0
155,87.0625,-4.25,-91.6875,-3.28,-0.57,9.22,0,0,0
156,87.875,-7.375,-93.8125,-3.19,0.5,9.34,0,0,0
157,86,-21.5,-87.875,-2.45,0.95,9.23,0,0,0
158,85.0625,-27.75,-79.3125,-2.51,1.11,9.5,0,0,0
159,75.625,-36,-65.125,-2.76,1.13,10.02,0,0,0
160,53.75,-41.0625,-61.8125,-2.96,1.8,9.91,0,0,0
161,46.75,-46,-61.5625,-2.65,1.79,9.41,0,0,0
162,56.3125,-58.125,-50.6875,-2.29,2.06,8.86,0,0,0
163,64.9375,-65,-39.75,-1.6,2.71,8.94,0,0,0
164,68.0625,-70.6875,-12.75,-1.04,3.1,9.28,0,0,0
165,58.625,-69.25,0.4375,-1.07,3.37,9.66,0,0,0
166,23.875,-55.0625,20.875,-1.49,3.62,9.85,0,0,0
167,-15.125,-46.4375,35.375,-1.6,3.36,9.75,0,0,0
168,-31.5,-47.875,43.375,-1.53,3.05,9.63,0,0,0
