Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
0,0.0,0.001090830782496456,0.001090830782496456,0.38,9.69,0.21,16.0625,0.75,-11.25,1745522110.4145863
1,-0.002181661564992912,-0.001090830782496456,0.003272492347489368,0.38,9.66,0.2,18.5625,2.1875,-11.6875,1745522110.4339445
2,0.0,0.001090830782496456,0.002181661564992912,0.41000000000000003,9.67,0.21,18.5625,2.1875,-11.6875,1745522110.452836
3,-0.002181661564992912,0.002181661564992912,-0.002181661564992912,0.37,9.68,0.19,16.0625,1.0625,-10.875,1745522110.4745657
4,-0.001090830782496456,0.001090830782496456,0.001090830782496456,0.4,9.66,0.21,16.0625,1.0625,-10.875,1745522110.493772
5,-0.001090830782496456,0.0,0.002181661564992912,0.43,9.66,0.19,16.0625,1.0625,-10.875,1745522110.5138576
6,-0.001090830782496456,-0.002181661564992912,0.0,0.4,9.64,0.19,17.875,2.1875,-11.6875,1745522110.5368965
7,-0.002181661564992912,0.0,-0.001090830782496456,0.38,9.65,0.23,17.875,2.1875,-11.6875,1745522110.557452
8,0.001090830782496456,0.0,0.001090830782496456,0.39,9.64,0.25,16.375,1.5,-11.6875,1745522110.576531
9,0.0,-0.002181661564992912,0.001090830782496456,0.39,9.64,0.21,16.375,1.5,-11.6875,1745522110.5995152
10,0.0,0.002181661564992912,0.001090830782496456,0.4,9.67,0.2,16.375,1.5,-11.6875,1745522110.6177669
11,0.0,-0.003272492347489368,0.0,0.4,9.620000000000001,0.2,19.0,1.875,-12.75,1745522110.6395605
12,0.001090830782496456,-0.003272492347489368,0.001090830782496456,0.4,9.68,0.21,19.0,1.875,-12.75,1745522110.6599097
13,0.001090830782496456,0.001090830782496456,0.0,0.38,9.620000000000001,0.22,17.1875,1.0625,-10.875,1745522110.6796575
14,0.001090830782496456,-0.002181661564992912,0.002181661564992912,0.41000000000000003,9.63,0.21,17.1875,1.0625,-10.875,1745522110.6996706
15,-0.002181661564992912,-0.002181661564992912,0.002181661564992912,0.41000000000000003,9.65,0.22,17.1875,1.0625,-10.875,1745522110.718361
16,0.003272492347489368,-0.002181661564992912,0.0,0.37,9.700000000000001,0.18,17.1875,2.5625,-11.6875,1745522110.7397397
17,0.002181661564992912,0.0,0.001090830782496456,0.37,9.65,0.19,17.1875,2.5625,-11.6875,1745522110.7599561
18,0.0,0.001090830782496456,-0.001090830782496456,0.4,9.68,0.25,17.5,1.0625,-12.5,1745522110.7797544
19,-0.002181661564992912,0.001090830782496456,0.003272492347489368,0.41000000000000003,9.69,0.21,17.5,1.0625,-12.5,1745522110.7997284
20,-0.001090830782496456,0.0,0.0,0.38,9.61,0.2,17.1875,2.1875,-11.6875,1745522110.8187993
21,-0.001090830782496456,-0.001090830782496456,0.001090830782496456,0.41000000000000003,9.63,0.23,17.1875,2.1875,-11.6875,1745522110.8398335
22,-0.001090830782496456,-0.003272492347489368,0.0,0.39,9.64,0.24,17.1875,2.1875,-11.6875,1745522110.860015
23,0.001090830782496456,-0.003272492347489368,0.001090830782496456,0.37,9.65,0.23,17.5,1.0625,-10.0625,1745522110.879829
24,-0.001090830782496456,-0.001090830782496456,0.0,0.41000000000000003,9.72,0.18,17.5,1.0625,-10.0625,1745522110.8998022
25,-0.002181661564992912,-0.002181661564992912,-0.001090830782496456,0.38,9.58,0.24,16.375,1.875,-10.5,1745522110.9193773
26,0.0,-0.002181661564992912,0.003272492347489368,0.41000000000000003,9.64,0.25,16.375,1.875,-10.5,1745522110.939849
27,0.002181661564992912,0.0,-0.001090830782496456,0.4,9.69,0.2,16.375,1.875,-10.5,1745522110.9604683
28,0.0,0.001090830782496456,-0.002181661564992912,0.39,9.620000000000001,0.22,17.875,1.875,-12.75,1745522110.9799495
29,0.002181661564992912,-0.003272492347489368,0.002181661564992912,0.41000000000000003,9.700000000000001,0.23,17.875,1.875,-12.75,1745522110.999926
30,0.002181661564992912,-0.002181661564992912,0.002181661564992912,0.41000000000000003,9.64,0.22,15.6875,1.875,-12.0625,1745522111.019599
31,0.0,0.0,0.001090830782496456,0.37,9.620000000000001,0.18,15.6875,1.875,-12.0625,1745522111.0400374
32,0.001090830782496456,-0.002181661564992912,0.001090830782496456,0.41000000000000003,9.66,0.22,15.6875,1.875,-12.0625,1745522111.0606058
33,0.0,0.001090830782496456,0.001090830782496456,0.39,9.620000000000001,0.23,17.5,1.0625,-12.0625,1745522111.0801954
34,0.001090830782496456,-0.001090830782496456,0.001090830782496456,0.39,9.65,0.2,17.5,1.0625,-12.0625,1745522111.100126
35,0.002181661564992912,-0.002181661564992912,0.002181661564992912,0.36,9.65,0.22,16.375,1.875,-10.875,1745522111.120221
36,0.001090830782496456,0.002181661564992912,0.0,0.38,9.66,0.17,16.375,1.875,-10.875,1745522111.1401322
37,0.001090830782496456,0.0,0.002181661564992912,0.39,9.67,0.23,16.375,1.875,-10.875,1745522111.1608574
38,0.001090830782496456,0.0,-0.001090830782496456,0.39,9.68,0.2,18.25,1.5,-12.5,1745522111.1804583
39,0.0,0.002181661564992912,0.001090830782496456,0.4,9.620000000000001,0.2,18.25,1.5,-12.5,1745522111.2000875
40,0.001090830782496456,0.002181661564992912,0.001090830782496456,0.4,9.64,0.25,16.375,2.1875,-10.5,1745522111.2203636
41,0.001090830782496456,0.001090830782496456,0.001090830782496456,0.39,9.65,0.19,16.375,2.1875,-10.5,1745522111.2404034
42,-0.001090830782496456,0.001090830782496456,0.002181661564992912,0.4,9.64,0.21,16.375,2.1875,-10.5,1745522111.2605774
43,-0.001090830782496456,0.0,-0.001090830782496456,0.39,9.67,0.22,17.875,1.875,-11.6875,1745522111.280356
44,0.0,0.0,-0.001090830782496456,0.38,9.66,0.19,17.875,1.875,-11.6875,1745522111.3003595
45,0.001090830782496456,0.003272492347489368,0.0,0.39,9.63,0.21,16.375,1.875,-11.25,1745522111.3205154
46,0.002181661564992912,0.0,0.001090830782496456,0.4,9.64,0.21,16.375,1.875,-11.25,1745522111.340651
47,0.001090830782496456,0.0,0.001090830782496456,0.4,9.66,0.22,16.375,1.875,-11.25,1745522111.3617785
48,-0.002181661564992912,-0.002181661564992912,0.003272492347489368,0.4,9.67,0.18,18.5625,2.1875,-12.75,1745522111.381205
49,0.0,0.0,-0.001090830782496456,0.39,9.69,0.21,18.5625,2.1875,-12.75,1745522111.401285
50,0.001090830782496456,0.002181661564992912,0.0,0.4,9.69,0.18,16.375,1.875,-10.5,1745522111.4213994
51,0.002181661564992912,0.001090830782496456,0.002181661564992912,0.39,9.61,0.24,16.375,1.875,-10.5,1745522111.441277
52,-0.002181661564992912,-0.001090830782496456,0.003272492347489368,0.4,9.700000000000001,0.21,16.375,1.875,-10.5,1745522111.461485
53,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,0.37,9.69,0.2,17.5,1.5,-13.25,1745522111.4813104
54,0.001090830782496456,-0.002181661564992912,-0.001090830782496456,0.4,9.64,0.17,17.5,1.5,-13.25,1745522111.5013542
55,-0.001090830782496456,-0.001090830782496456,0.0,0.4,9.67,0.22,17.1875,1.5,-10.875,1745522111.5221775
56,0.0,0.0,-0.001090830782496456,0.39,9.620000000000001,0.19,17.1875,1.5,-10.875,1745522111.5419614
