Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),Timestamp
980,-0.640317669,-0.061086524,0.113446401,-2.16,-5.59,7.49,0,0,0,1743569212.1204536
981,-0.568322838,0.050178216,0.129808863,-2.43,-6,7.75,0,0,0,1743569212.133346
982,-1.228275461,0.068722339,0.298887634,-2.52,-5.69,7.94,0,0,0,1743569212.1464972
983,-1.414807525,0.102538094,0.285797665,-3.21,-8.11,7.42,0,0,0,1743569212.1613748
984,-0.988292689,0.004363323,-0.013089969,-3.23,-7.45,6.89,0,0,0,1743569212.1747046
985,-0.626136869,-0.029452431,-0.073085662,-2.7,-6.22,6.78,0,0,0,1743569212.1876059
986,-0.502872991,-0.091629786,-0.059995693,-2.63,-5.99,6.57,0,0,0,1743569212.2034776
987,-0.107992247,0.234528618,-0.205076187,-2.61,-7.04,7.52,0,0,0,1743569212.2166488
988,0.235619449,0.119991386,-0.41778819,-2.54,-7.29,7.55,0,0,0,1743569212.2295425
989,0.559596191,0.009817477,-0.632681854,-2.82,-5.92,6.65,0,0,0,1743569212.244582
990,0.397062405,-0.102538094,-0.483238037,-2.37,-6.05,6.36,0,0,0,1743569212.2574754
991,0.537779576,0.001090831,-0.433059821,-2.29,-6.01,6.51,0,0,0,1743569212.2703772
992,0.839939703,-0.011999139,-0.382881605,-2.51,-6.06,6.55,0,0,0,1743569212.2838535
993,0.721039147,-0.114537232,-0.087266463,-2.56,-5.66,7.23,0,0,0,1743569212.296748
994,0.507236314,-0.191986218,0.052359878,-2.53,-5.72,6.99,0,0,0,1743569212.3121111
995,0.44614979,-0.194167879,0.093811447,-2.32,-6.26,7.65,0,0,0,1743569212
996,0.890117919,-0.345793358,0.015271631,-2.17,-6.17,7.79,0,0,0,1743569212.3390243
997,1.244637923,-0.561777853,-0.0283616,-2.02,-6.01,7.68,0,0,0,1743569212.3543522
998,2.284199659,-0.735219947,-0.322885912,-1.54,-6.61,7.28,0,0,0,1743569212.3672845
999,3.198315854,-0.537779576,-0.569413668,-1.34,-7.06,7.72,0,0,0,1743569212.3801773
1000,4.497495316,-0.237801111,-0.985020197,-2.3,-7.13,8.95,0,0,0,1743569212.3948689
1001,6.902777192,-0.248709418,-2.344195352,-2.47,-4.85,9.27,0,0,0,1743569212.4079068
1002,7.522369076,-0.426514836,-2.643082986,-3.01,-2.62,8.81,0,0,0,1743569212.4207816
1003,6.874415591,-0.670860931,-2.398736891,-2.3,-1.23,8.78,0,0,0,1743569212.4338672
1004,5.575236129,-0.867210472,-1.42244334,-2.04,-1.73,9.17,0,0,0,1743569212.446746
1005,5.801038101,-1.194459707,-0.922842842,-1.71,-1.26,8.48,0,0,0,1743569212.4622695
1006,6.048656689,-1.292634477,-0.570504499,-0.74,1.5,7.54,0,0,0,1743569212.4753993
1007,5.546874529,-0.856302164,-0.22252948,-0.56,1.12,8.19,0,0,0,1743569212.4894123
1008,5.235987756,-0.519235452,-0.141808002,-1.01,0.97,10.11,0,0,0,1743569212.5044918
1009,5.686500869,-0.315250096,-0.398153236,-1.44,0.82,10.57,0,0,0,1743569212.5173662
1010,6.025749243,-0.397062405,-0.428696498,-1.79,1.99,10.05,0,0,0,1743569212.5302434
1011,5.719225793,-0.842121364,-0.355610835,-0.74,2.77,7.19,0,0,0,1743569212.544747
1012,4.030619741,-0.750491578,-0.13962634,-0.36,3.37,6.65,0,0,0,1743569212.5577717
1013,3.048872037,-0.398153236,-0.191986218,-0.22,3.95,6.4,0,0,0,1743569212.5706654
1014,2.279836335,0.117809725,-0.297796804,-0.57,4.84,8.67,0,0,0,1743569212.5840344
1015,2.535090739,0.429787328,-0.210530341,-0.63,5.07,8.59,0,0,0,1743569212.5969377
1016,2.571088154,0.211621172,-0.031634093,-0.61,4.75,8.55,0,0,0,1743569212.612797
1017,2.729258618,-0.031634093,0.081812309,-0.76,5.29,8.2,0,0,0,1743569212.6259036
1018,2.511092461,-0.008726646,-0.029452431,-0.73,5.62,8.63,0,0,0,1743569212.6405923
1019,2.868884958,0.02727077,-0.075267324,-0.75,5.91,6.94,0,0,0,1743569212.6548645
1020,3.149228469,-0.258526895,0.219256987,-0.89,5.54,6.44,0,0,0,1743569213
1021,2.499093323,-0.262890219,0.407970713,-0.57,5.92,5.76,0,0,0,1743569212.680666
1022,0.898844565,-0.261799388,0.368700804,-0.42,5.77,5.93,0,0,0,1743569212.6948903
1023,-0.421060682,0.343611696,-0.219256987,-0.36,6.83,6.69,0,0,0,1743569212.708463
1024,-0.553051207,0.499600498,-0.220347818,-0.35,7.33,7.35,0,0,0,1743569212.7213585
1025,-0.109083078,0.489783021,-0.068722339,-1.03,6.71,8.22,0,0,0,1743569212.734413
1026,1.593703773,-0.079630647,0.33488505,-0.96,6.48,7.11,0,0,0,1743569212.747321
1027,1.865320638,-0.351247512,0.341430035,-0.63,5.85,6.11,0,0,0,1743569212.763513
1028,1.68642439,0.002181662,-0.009817477,-0.46,5.85,5.67,0,0,0,1743569212.7764246
1029,1.372265124,0.256345234,-0.162533787,-0.54,6.19,6,0,0,0,1743569212.7919254
1030,0.896662903,0.328340066,-0.088357293,-0.59,7.12,6.38,0,0,0,1743569212.8054225
1031,0.570504499,0.155988802,0.067631509,-0.58,7.22,6.24,0,0,0,1743569212.8183227
1032,0.032724923,0.001090831,0.151625479,-0.51,6.98,6.35,0,0,0,1743569212.8314285
1033,-0.230165295,-0.053450708,0.137444679,-0.6,7.22,6.35,0,0,0,1743569212.845183
1034,0.106901417,-0.118900555,0.244346095,-0.58,7.04,6.12,0,0,0,1743569212.8591588
1035,0.182168741,-0.112355571,0.255254403,-0.63,6.66,6,0,0,0,1743569212.872054
1036,0.454876436,-0.06981317,0.185441233,-0.54,6.96,5.94,0,0,0,1743569212.8855407
1037,0.433059821,-0.05563237,0.149443817,-0.45,7.02,5.87,0,0,0,1743569212.8999784
1038,0.302160127,-0.034906585,0.112355571,-0.55,6.73,5.94,0,0,0,1743569212.9146388
1039,-0.201803695,-0.017453293,0.038179077,-0.56,6.62,6.06,0,0,0,1743569212.9275331
1040,-0.286888496,0.034906585,0.031634093,-0.75,6.87,6.07,0,0,0,1743569212.941383
1041,-0.163624617,-0.013089969,0.102538094,-0.73,7.42,6.13,0,0,0,1743569212.9550393
1042,0.303250958,-0.046905724,0.193077049,-0.49,7.26,6.11,0,0,0,1743569212.9679337
1043,0.491964683,-0.116718894,0.246527757,-0.4,6.46,5.56,0,0,0,1743569212.9808261
1044,0.235619449,-0.18107791,0.175623756,-0.32,6.14,5.22,0,0,0,1743569212.9948077
1045,-0.23671028,0.023998277,-0.160352125,-0.29,6.5,5.26,0,0,0,1743569213.0084383
1046,-0.37633662,0.196349541,-0.200712864,-0.51,6.92,6.12,0,0,0,1743569213.0213327
1047,-0.6130469,0.242164434,-0.155988802,-0.68,6.72,6.7,0,0,0,1743569213.0344176
1048,-1.083194967,0.061086524,-0.16689711,-0.38,7.3,6.27,0,0,0,1743569213.0476613
1049,-0.847575518,-0.018544123,-0.053450708,-0.36,6.92,6.16,0,0,0,1743569213.063458
1050,-0.517053791,0.02727077,0.147262156,-0.48,6.34,6.35,0,0,0,1743569213.0763562
1051,-0.457058098,-0.0283616,0.105810586,-0.41,6.45,5.87,0,0,0,1743569213.0922425
1052,-1.085376629,0.143989663,0.045814893,-0.45,6.03,6.14,0,0,0,1743569213.1054032
1053,-1.514073126,0.22362031,-0.026179939,-0.44,6.32,6.28,0,0,0,1743569213.1183105
1054,-1.803143283,0.251981911,-0.030543262,-0.34,6.59,6.45,0,0,0,1743569213.131206
1055,-2.590723108,0.304341788,0.058904862,-0.48,6.2,6.5,0,0,0,1743569213.1448305
1056,-3.280128163,0.294524311,0.135263017,-0.34,5.03,6.24,0,0,0,1743569213.1589916
1057,-3.608468228,0.346884189,0.008726646,-0.55,5.19,6.47,0,0,0,1743569213.1718779
1058,-3.809181092,0.786488994,-0.078539816,-0.88,4.89,7.57,0,0,0,1743569213.1851633
1059,-4.113522881,0.751582409,-0.077448986,-0.54,5.1,7.26,0,0,0,1743569213.1995802
1060,-4.648029964,0.654498469,-0.04145157,-0.89,3.86,8.23,0,0,0,1743569213.2142773
1061,-3.800454446,0.872664626,-0.074176493,-0.93,3.4,8.38,0,0,0,1743569213.227172
1062,-4.100432911,0.806123948,-0.031634093,-1.39,2.81,8.42,0,0,0,1743569213.2429776
1063,-4.896739383,0.783216502,-0.071994832,-1.01,2.69,7.91,0,0,0,1743569213.2558792
1064,-5.25562271,1.070104998,-0.086175632,-1.32,1.7,9.23,0,0,0,1743569213.2687755
1065,-4.87928609,1.264272877,-0.085084801,-1.99,1.09,9.93,0,0,0,1743569213.281673
1066,-3.8342702,0.952295273,0.391608251,-2.4,0.3,9.92,0,0,0,1743569213.295187
1067,-3.600832413,0.510508806,0.601047761,-1.74,0.23,9.62,0,0,0,1743569213.3099303
1068,-3.556108351,0.379609112,0.679587577,-1.58,0.18,9.73,0,0,0,1743569213.3230102
1069,-3.31830724,0.303250958,0.763581548,-1.47,-0.56,9.52,0,0,0,1743569213.3358734
1070,-2.982331359,0.368700804,0.6130469,-1.92,-0.41,9.16,0,0,0,1743569213.3512468
1071,-3.012874621,0.537779576,0.459239759,-1.75,-1.76,9.48,0,0,0,1743569213.364931
1072,-2.778346003,0.633772685,0.233437787,-2.47,-1.88,9.17,0,0,0,1743569213.377829
1073,-2.789254311,0.595593607,0.196349541,-2.88,-2.16,9.12,0,0,0,1743569213.3930821
1074,-3.076142807,0.54323373,0.470148067,-2.82,-3.29,9.17,0,0,0,1743569213.4059908
1075,-3.1786809,0.520326283,0.398153236,-2.55,-3.73,9.27,0,0,0,1743569213.418888
1076,-3.143774315,0.662134285,0.214893664,-2.37,-3.72,9.62,0,0,0,1743569213.4317868
1077,-2.231839781,0.591230284,-0.081812309,-2.51,-3.3,9.84,0,0,0,1743569213.4449663
1078,-1.8675023,0.281434342,-0.165806279,-2.42,-3.08,8.89,0,0,0,1743569213.4593625
1079,-1.832595715,0.214893664,-0.124354709,-2.33,-3.45,8.41,0,0,0,1743569213.4724748
1080,-1.800961622,0.549778714,-0.255254403,-3.03,-4.19,7.81,0,0,0,1743569213.4855647
1081,-2.228567289,0.807214779,-0.212712003,-2.41,-4.86,8.49,0,0,0,1743569213.5009513
1082,-1.893682238,1.079922475,-0.429787328,-3.16,-4.97,8.98,0,0,0,1743569213.514759
1083,-1.655881128,0.741764932,-0.323976742,-2.76,-4.62,8.95,0,0,0,1743569213.5276556
1084,-1.368992632,0.470148067,-0.230165295,-3.1,-4.73,8.72,0,0,0,1743569213.5429087
1085,-0.860665487,-0.031634093,-0.187622895,-2.59,-4.22,7.12,0,0,0,1743569213.5558033
1086,-0.879209611,0.044724062,-0.127627202,-2.85,-4.87,7.06,0,0,0,1743569213.5687099
1087,-0.997019335,0.213802833,-0.059995693,-3.55,-5.09,6.96,0,0,0,1743569213.581606
1088,-1.718058482,0.495237175,0.124354709,-2.77,-5.54,8.05,0,0,0,1743569213.5947871
1089,-1.395172571,0.643590162,-0.008726646,-3.12,-5.56,8.75,0,0,0,1743569213.609209
1090,-0.971930227,0.296705973,-0.106901417,-3.25,-5.37,8.5,0,0,0,1743569213.6223233
1091,-0.414515697,-0.15271631,-0.160352125,-2.8,-4.89,6.58,0,0,0,1743569213.6352246
1092,-0.30652345,-0.022907446,-0.102538094,-2.84,-4.96,6.69,0,0,0,1743569213.6504383
1093,-0.284706834,0.189804556,-0.035997416,-3.42,-5.8,7.84,0,0,0,1743569213.6643617
1094,-0.217075326,0.004363323,-0.105810586,-3.08,-5.77,7.41,0,0,0,1743569213.6772578
1095,-0.340339204,-0.016362462,-0.099265601,-2.93,-6.09,7.29,0,0,0,1743569213.6927128
1096,-0.066540678,-0.005454154,-0.213802833,-2.71,-4.55,6.71,0,0,0,1743569213.7056088
1097,-0.269435203,-0.003272492,-0.004363323,-2.34,-4.4,6.98,0,0,0,1743569213.7185068
1098,-0.448331452,0.093811447,0.277071019,-2.64,-4.93,7.51,0,0,0,1743569213.7314093
1099,-0.092720617,-0.031634093,0.299978465,-2.93,-5.93,7.49,0,0,0,1743569213.7446961
1100,0.057814031,-0.038179077,0.141808002,-2.8,-5.96,7.68,0,0,0,1743569213.7592852
1101,0.183259571,-0.038179077,0.002181662,-2.94,-6.2,8.02,0,0,0,1743569213.7724185
1102,0.841030533,-0.352338343,-0.239982772,-2.92,-5.47,7.12,0,0,0,1743569213.7853167
1103,0.953386104,-0.406879882,-0.227983634,-2.71,-5.34,6.74,0,0,0,1743569213.8007894
1104,1.109374906,-0.218166156,-0.175623756,-3.02,-4.64,6.84,0,0,0,1743569213.8144553
1105,0.762490717,-0.197440372,-0.011999139,-2.45,-5.04,7.05,0,0,0,1743569213.8273525
1106,0.566141176,-0.010908308,0.017453293,-2.83,-5.74,7.6,0,0,0,1743569213.8426828
1107,0.680678408,0.126536371,-0.126536371,-2.91,-5.45,8.24,0,0,0,1743569213.8555791
1108,0.771217363,0.046905724,-0.169078771,-2.93,-5.61,8.35,0,0,0,1743569213.8684833
1109,0.990474351,-0.067631509,-0.249800249,-2.96,-5.42,8.18,0,0,0,1743569214
1110,1.430079156,-0.215984495,-0.371973297,-2.64,-5.11,7.98,0,0,0,1743569213.8945618
1111,1.749692575,-0.148352986,-0.414515697,-2.73,-4.98,8.32,0,0,0,1743569213.9092867
1112,2.204569011,-0.200712864,-0.499600498,-2.76,-4.7,8.25,0,0,0,1743569213.9223619
1113,2.713986987,-0.23671028,-0.6272277,-2.89,-4.66,8.59,0,0,0,1743569214
1114,2.741257756,-0.424333174,-0.582503638,-3.01,-2.95,6.82,0,0,0,1743569213.9509058
1115,1.144281491,-0.158170463,-0.15380714,-2.37,-3.67,7.53,0,0,0,1743569213.9645875
1116,1.148644814,0.221438649,-0.150534648,-2.51,-3.9,8.27,0,0,0,1743569213.977485
1117,1.332995216,0.303250958,-0.206167018,-2.82,-3.86,10.27,0,0,0,1743569213.9926422
1118,1.893682238,-0.191986218,-0.273798526,-2.72,-3.92,9.67,0,0,0,1743569214.0055387
1119,2.360557813,-0.509417975,-0.375245789,-2.15,-3.54,9.1,0,0,0,1743569214.0184371
1120,3.042327052,-0.507236314,-0.493055514,-2.18,-3.06,9.03,0,0,0,1743569214.0313315
1121,4.662210764,-0.412334036,-0.815941425,-2.07,-2.05,9.37,0,0,0,1743569214.044402
1122,5.223988617,-0.421060682,-0.75267324,-2.8,-0.91,9.05,0,0,0,1743569214.0590777
1123,5.054909846,-0.714494163,-0.513781299,-2.31,-0.44,8.54,0,0,0,1743569214.0721872
1124,3.658646444,-0.704676685,-0.018544123,-2.12,-0.93,8.58,0,0,0,1743569214.0850894
1125,3.565925828,-0.614137731,0.079630647,-1.65,-0.02,8.43,0,0,0,1743569214.1007168
1126,3.876812601,-0.475602221,0.19525871,-1.52,1.05,8.63,0,0,0,1743569214.1143954
1127,4.049163865,-0.415606528,0.143989663,-1.27,1.48,9.18,0,0,0,1743569214.127292
1128,4.355687315,-0.271616865,0.004363323,-1.53,1.94,9.5,0,0,0,1743569214.1424599
1129,5.593780253,-0.318522588,-0.106901417,-1.85,2.57,9.32,0,0,0,1743569214.1555674
1130,6.072654966,-0.558505361,0.003272492,-1.75,3.13,8.42,0,0,0,1743569214.168474
1131,6.387905062,-0.73849244,0.114537232,-1.11,3.92,7.58,0,0,0,1743569214.1818526
1132,4.379685592,-0.521417114,0.422151513,-1.4,3.68,8.06,0,0,0,1743569214.1947484
1133,2.405281875,-0.256345234,0.350156681,-1.67,3.45,8.65,0,0,0,1743569214.2099907
1134,1.03192592,0.035997416,0.059995693,-1.78,4.66,9.24,0,0,0,1743569214
1135,1.183551399,-0.103628924,0.017453293,-0.83,6.62,7.91,0,0,0,1743569214.236706
1136,1.755146729,-0.187622895,0.091629786,-0.9,6.51,8.07,0,0,0,1743569214.2521288
1137,3.620467367,-0.173442094,0.410152374,-1.59,5.36,7.75,0,0,0,1743569214.265024
1138,4.063344665,-0.339248373,0.484328867,-1.67,5.19,7.56,0,0,0,1743569214.2779222
1139,4.325144053,-0.326158404,0.567232007,-0.88,5.97,6.56,0,0,0,1743569214.2927122
1140,2.873248281,-0.258526895,0.518144622,-1.29,5.71,6.37,0,0,0,1743569214.3056116
1141,2.168571596,-0.128718032,0.498509668,-1.04,5.56,6.27,0,0,0,1743569214.3185093
1142,1.246819584,-0.142898833,0.397062405,-1.13,5.37,5.97,0,0,0,1743569214.3316526
1143,0.671951762,0.047996554,0.119991386,-0.81,6.84,5.94,0,0,0,1743569214.344549
1144,0.625046038,0.100356432,0.127627202,-0.74,7.18,5.93,0,0,0,1743569214.3598518
1145,0.723220809,0.044724062,0.155988802,-0.58,7.5,5.89,0,0,0,1743569214.372995
1146,0.991565181,-0.031634093,0.294524311,-0.58,7.92,6.52,0,0,0,1743569214.3864148
1147,1.256637061,0.050178216,0.353429174,-1.3,8.07,7.21,0,0,0,1743569214.4019413
1148,2.444551784,-0.163624617,1.00356432,-1.15,6.58,6.03,0,0,0,1743569214.4148383
1149,2.18820655,-0.340339204,1.028653428,-0.76,6.26,5.43,0,0,0,1743569214.4277408
1150,1.385355094,-0.401425728,0.865028811,-0.3,6.58,4.45,0,0,0,1743569214.4425035
1151,0.003272492,-0.174532925,0.123263878,-0.09,7.29,4.41,0,0,0,1743569214.4554088
1152,-0.149443817,0.051269047,-0.051269047,0,7.72,4.62,0,0,0,1743569214.4683056
1153,-0.357792497,0.171260433,-0.175623756,-0.2,8.06,5.24,0,0,0,1743569214.4816668
1154,0.727584132,0.129808863,0.137444679,-0.71,7.88,5.76,0,0,0,1743569214.4945633
1155,0.986111027,-0.137444679,0.361064989,-0.5,7.46,5.14,0,0,0,1743569214.5099795
1156,0.755945732,-0.351247512,0.368700804,-0.19,6.58,4.2,0,0,0,1743569214.523131
1157,0.107992247,-0.117809725,-0.008726646,-0.25,6.74,4.52,0,0,0,1743569214.5370035
1158,-0.356701666,0.059995693,-0.249800249,-0.56,7.75,5.49,0,0,0,1743569214.5520842
1159,-0.510508806,0.231256126,-0.237801111,-0.61,7.83,5.66,0,0,0,1743569214.5649848
1160,-0.541052068,0.128718032,-0.145080494,-0.68,7.74,5.7,0,0,0,1743569214.5778816
1161,-0.580321976,-0.018544123,-0.043633231,-0.38,6.9,4.91,0,0,0,1743569214.592532
1162,-1.019926782,-0.090538955,-0.088357293,-0.53,6.83,5.08,0,0,0,1743569214.6054301
1163,-1.050470044,0.102538094,-0.173442094,-0.46,7.05,5.27,0,0,0,1743569214.6183288
1164,-1.235911277,0.255254403,-0.218166156,-0.54,7.29,5.84,0,0,0,1743569214.6314688
1165,-2.042035225,0.172351264,-0.229074464,-0.66,7.18,5.65,0,0,0,1743569214.6443648
1166,-2.599449755,0.155988802,-0.138535509,-0.4,6.51,5.41,0,0,0,1743569214.659771
1167,-3.488476842,0.215984495,-0.15380714,-0.63,6.67,5.86,0,0,0,1743569214.6728973
1168,-3.395756226,0.547597053,-0.088357293,-0.27,6.96,6.25,0,0,0,1743569214.6865473
1169,-3.651010629,0.656680131,0.066540678,-1.06,6.11,7.45,0,0,0,1743569214.7018383
1170,-3.942262448,0.584685299,0.356701666,-0.92,5.13,7.58,0,0,0,1743569215
1171,-4.429863808,0.548687884,0.32070425,-1.2,4.66,7.97,0,0,0,1743569214.7276363
1172,-4.285874144,0.666497608,0.453785606,-1.31,4.09,8.78,0,0,0,1743569214.742279
1173,-3.501566812,0.472329729,0.747219086,-1.5,3.73,8.82,0,0,0,1743569214.7551765
1174,-3.271401517,0.462512252,0.800669794,-1.52,3.41,8.62,0,0,0,1743569214.7680697
1175,-3.440480288,0.422151513,0.831213056,-1,2.68,7.41,0,0,0,1743569214.7814035
1176,-4.627304179,1.135554845,1.007927643,-1.49,2.88,8.54,0,0,0,1743569214.7943003
1177,-4.294600791,1.484620695,0.78103484,-1,3.15,9.93,0,0,0,1743569214.809996
1178,-3.94444411,1.523890603,0.674133424,-2.26,1.57,9.85,0,0,0,1743569214.8231537
1179,-2.908154866,0.940296135,0.798488133,-2.35,0.96,8.7,0,0,0,1743569214.8372734
1180,-3.181953393,0.767944871,0.761399886,-1.92,0.35,8.74,0,0,0,1743569214.8520715
1181,-1.999492824,1.233729615,0.301069296,-1.39,0.95,10.22,0,0,0,1743569214.8649662
1182,-1.392990909,1.391900078,0.186532064,-2.09,1.71,11.5,0,0,0,1743569214.8778634
1183,-0.782125671,0.97520272,0.208348679,-1.78,0.67,9.7,0,0,0,1743569214.8923311
1184,-0.89229958,-0.021816616,0.442877298,-1.66,0.5,9.09,0,0,0,1743569214.9055068
1185,-0.611956069,-0.128718032,0.398153236,-1.3,0.85,7.93,0,0,0,1743569214.9184084
1186,-0.774489856,0.013089969,0.40360739,-1.56,0.17,8.38,0,0,0,1743569214.9314668
1187,-0.605411084,0.593411946,0.405789051,-1.81,0.27,9.5,0,0,0,1743569214.944361
1188,-0.343611696,0.559596191,0.221438649,-1.84,0.67,10,0,0,0,1743569214.9600813
1189,-0.246527757,0.388335759,0.118900555,-1.79,0.41,10.08,0,0,0,1743569214.9731581
1190,0.522507945,-0.284706834,-0.009817477,-2.15,0.13,7.97,0,0,0,1743569214.9874885
1191,0.304341788,-0.531234591,0.053450708,-2.06,-0.37,8.15,0,0,0,1743569215.0021083
1192,-0.020725785,0.200712864,-0.103628924,-2.2,0.02,8.8,0,0,0,1743569215.0150037
1193,-0.257436065,0.453785606,-0.147262156,-1.89,0.56,10.86,0,0,0,1743569215.0278745
1194,-0.256345234,0.469057236,-0.089448124,-2.32,0.21,10.14,0,0,0,1743569215
1195,0.322885912,-0.389426589,0.002181662,-1.79,0.65,8.77,0,0,0,1743569215.0554063
1196,0.582503638,-0.500691329,-0.0283616,-1.87,0.66,8.29,0,0,0,1743569215.068301
1197,0.535597914,-0.451603944,-0.019634954,-1.77,0.45,8.5,0,0,0,1743569215.081569
1198,0.352338343,0.176714587,-0.13962634,-2.06,0.57,9.57,0,0,0,1743569215.094478
1199,0.507236314,0.305432619,-0.232346957,-2.26,0.69,9.78,0,0,0,1743569215.110453
1200,0.558505361,0.175623756,-0.296705973,-2.8,0.45,9.79,0,0,0,1743569215.1233647
1201,0.586866961,0.110173909,-0.230165295,-3.1,0.19,9.07,0,0,0,1743569215.1382146
1202,0.16689711,0.021816616,-0.141808002,-2.67,0.4,9.16,0,0,0,1743569215.152356
1203,-0.075267324,0.395971574,-0.188713725,-2.71,0.41,8.56,0,0,0,1743569215.165256
1204,-0.141808002,0.426514836,-0.233437787,-1.88,1.21,8.11,0,0,0,1743569215.178157
1205,0.058904862,0.580321976,-0.226892803,-2.74,0.59,9.01,0,0,0,1743569215.1922843
1206,0.29234265,0.815941425,-0.248709418,-2.28,0.73,8.46,0,0,0,1743569215.2058284
1207,0.117809725,0.927206165,-0.254163572,-2.49,0.55,8.53,0,0,0,1743569215.2187278
1208,0.221438649,1.18464223,-0.321795081,-2.94,1.35,10.33,0,0,0,1743569215.2318254
1209,0.500691329,1.632973681,-0.46033059,-3.65,0.68,10.59,0,0,0,1743569215.2447217
1210,0.118900555,1.568614665,-0.406879882,-3.99,0.01,10.6,0,0,0,1743569215.2609482
1211,-0.315250096,1.418080017,-0.537779576,-3.57,0.41,9.28,0,0,0,1743569215.2738469
1212,-0.496328006,1.461713249,-0.574867822,-4.09,0.04,9.26,0,0,0,1743569215.289391
1213,-0.27816185,1.544616388,-0.784307333,-3.98,-0.14,8.34,0,0,0,1743569215.3028572
1214,-0.262890219,1.724603467,-0.772308194,-4.08,0.27,8.48,0,0,0,1743569215.3157542
1215,-0.150534648,1.832595715,-0.591230284,-3.76,0.63,8.68,0,0,0,1743569215.3286493
1216,-0.062177355,1.803143283,-0.493055514,-4.36,0.19,8.56,0,0,0,1743569215.342599
1217,0.113446401,1.650426974,-0.344702527,-4.42,0.15,8.4,0,0,0,1743569215.3565526
1218,0.017453293,1.588249619,-0.258526895,-4.28,0.59,7.91,0,0,0,1743569215.3694508
1219,-0.416697359,1.623156204,-0.102538094,-4.82,-0.04,7.05,0,0,0,1743569215.3829694
1220,-0.596684438,1.818414914,0.006544985,-4.96,-0.01,7.19,0,0,0,1743569215.3973863
1221,-0.511599637,1.920953008,-0.030543262,-5.88,-0.28,7.9,0,0,0,1743569215.412037
1222,-0.427605667,2.18929738,-0.143989663,-5.76,0.07,8.05,0,0,0,1743569215.4249341
1223,-0.340339204,2.163117442,-0.205076187,-5.86,0.3,8.24,0,0,0,1743569215.4406543
1224,-0.200712864,2.000583655,-0.095993109,-5.94,0.72,8.47,0,0,0,1743569215.4535544
1225,-0.057814031,1.812960761,-0.038179077,-5.9,0.9,8.5,0,0,0,1743569215.4664521
1226,0.093811447,1.699514359,-0.005454154,-6.34,0.81,9.13,0,0,0,1743569215.4795544
1227,0.165806279,1.274090354,0.071994832,-7.06,0.3,9.15,0,0,0,1743569215.4928463
1228,0.073085662,0.982838535,0.095993109,-6.85,0.25,8.54,0,0,0,1743569215.507317
1229,-0.04145157,0.748309917,0.09708394,-6.52,0.48,7.87,0,0,0,1743569216
1230,0.079630647,0.531234591,0.130899694,-6.21,0.27,5.77,0,0,0,1743569215.533303
1231,0.081812309,0.608683577,0.13962634,-6.59,-0.16,5.72,0,0,0,1743569215.5484736
1232,0.090538955,0.788670656,0.134172186,-6.59,0.18,6.17,0,0,0,1743569215.5624287
1233,0.04145157,0.874846288,0.064359016,-6.56,0.35,6.21,0,0,0,1743569215.5753236
1234,0.054541539,0.814850595,0.09708394,-6.51,0.23,6.15,0,0,0,1743569215.5908198
1235,-0.0283616,0.693768378,0.099265601,-6.71,0.02,5.99,0,0,0,1743569215.6037145
1236,-0.099265601,0.680678408,0.071994832,-6.9,0.06,6.69,0,0,0,1743569215.6166108
1237,-0.0141808,0.693768378,0.066540678,-7.15,0.14,7.07,0,0,0,1743569215.6295068
1238,-0.309795942,0.375245789,0.095993109,-6.91,0.09,6.51,0,0,0,1743569215.6426866
1239,-0.269435203,0.368700804,0.117809725,-6.98,0.01,6.56,0,0,0,1743569215.6571069
1240,-0.193077049,0.267253542,0.107992247,-7.01,0.09,6.97,0,0,0,1743569215.6702402
1241,0.030543262,0.170169602,0.003272492,-7.33,0.09,7.77,0,0,0,1743569215.683138
1242,0.086175632,-0.099265601,0.029452431,-7.36,0.04,7.46,0,0,0,1743569215.6983228
1243,0.15380714,-0.314159265,0.092720617,-6.9,0.27,6.74,0,0,0,1743569215.712279
1244,0.305432619,-0.539961237,0.087266463,-6.79,0.27,6.35,0,0,0,1743569215.7251778
1245,0.294524311,-0.595593607,0.0283616,-6.68,0.35,6.28,0,0,0,1743569215.7406363
1246,0.092720617,-0.532325422,-0.074176493,-7.18,0.31,7.92,0,0,0,1743569215.7535381
1247,0.091629786,-0.646862654,-0.044724062,-6.93,0.67,8.69,0,0,0,1743569215.766449
1248,0.189804556,-0.89229958,0.017453293,-7.46,1.37,10.97,0,0,0,1743569215.7793477
1249,0.445058959,-2.235112273,0.428696498,-7.35,0.37,7.92,0,0,0,1743569215.7925258
1250,0.491964683,-2.668172094,0.471238898,-7.19,-0.14,6.29,0,0,0,1743569215.8069186
1251,0.388335759,-2.576542308,0.355610835,-6.25,-0.08,4.91,0,0,0,1743569215.8200684
1252,0.400334897,-1.914408023,-0.011999139,-5.56,1.37,7.32,0,0,0,1743569215.8329625
1253,0.496328006,-1.943860454,0.133081355,-5.07,1.38,7.17,0,0,0,1743569215.8481686
1254,0.437423144,-2.297289628,0.332703389,-5.06,0.54,6.59,0,0,0,1743569215.8620992
