Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),Timestamp
56,0.045814893,-0.118900555,-0.033815754,0.06,0.13,8.46,0,0,0,1743569199.5180068
57,-0.15271631,0.178896248,-0.007635815,-0.02,0.05,9.59,0,0,0,1743569199.5308251
58,-0.176714587,0.262890219,-0.006544985,0,0.07,9.98,0,0,0,1743569199.543644
59,-0.175623756,0.22362031,-0.015271631,-0.02,0.06,10.33,0,0,0,1743569199.5580897
60,-0.022907446,-0.061086524,-0.053450708,-0.2,0,9.39,0,0,0,1743569199.5710592
61,0.011999139,-0.160352125,-0.037088247,-0.1,0.03,9.03,0,0,0,1743569199.5838833
62,0.068722339,-0.103628924,-0.030543262,-0.06,0.08,8.96,0,0,0,1743569199.5972173
63,0.020725785,0.077448986,0.017453293,-0.31,-0.02,9.69,0,0,0,1743569199.610041
64,-0.023998277,0.078539816,0.016362462,-0.34,0,9.84,0,0,0,1743569199.6259084
65,0.004363323,-0.061086524,0.025089108,-0.29,0.17,9.12,0,0,0,1743569199.6389802
66,0.001090831,-0.082903139,0.037088247,-0.29,0.09,8.94,0,0,0,1743569199.6532269
67,0.013089969,-0.023998277,0.038179077,-0.43,0.04,9.02,0,0,0,1743569199.6678424
68,-0.025089108,0.067631509,0.110173909,-0.17,0.12,9.22,0,0,0,1743569199.6806614
69,-0.022907446,0.093811447,0.167987941,-0.18,0.22,9.45,0,0,0,1743569199.6934824
70,-0.0283616,0.034906585,0.27925268,-0.3,-0.24,9.36,0,0,0,1743569199.7079363
71,-0.051269047,0.089448124,0.193077049,-0.41,-0.11,9.85,0,0,0,1743569199.7209327
72,-0.011999139,0.087266463,0.089448124,-0.4,-0.03,9.9,0,0,0,1743569199.7337544
73,0.045814893,-0.001090831,0.030543262,-0.39,-0.03,9.77,0,0,0,1743569199.746883
74,0.066540678,0.016362462,0.004363323,-0.43,0.16,9.21,0,0,0,1743569199.7597044
75,0.044724062,0.09708394,-0.011999139,-0.48,0.24,9.44,0,0,0,1743569199.7750075
76,-0.032724923,0.118900555,0.0141808,-0.46,0.02,9.53,0,0,0,1743569199.788009
77,-0.09817477,0.092720617,0.017453293,-0.56,-0.06,9.54,0,0,0,1743569199.8008268
78,-0.076358155,0.079630647,-0.007635815,-0.52,0.12,9.21,0,0,0,1743569199.8165576
79,-0.052359878,0.148352986,-0.02727077,-0.37,0.11,9.12,0,0,0,1743569199.829387
80,0.001090831,0.130899694,-0.034906585,-0.38,-0.02,9.17,0,0,0,1743569199.842213
81,0.080721478,0.137444679,-0.067631509,-0.56,-0.22,9.42,0,0,0,1743569199.8580008
82,0.102538094,0.187622895,-0.087266463,-0.67,-0.33,9.44,0,0,0,1743569199.8713777
83,0.11126474,0.118900555,-0.110173909,-0.44,-0.24,9.1,0,0,0,1743569199.8842227
84,0.113446401,0.147262156,-0.141808002,-0.21,-0.17,9.19,0,0,0,1743569199.8975966
85,0.160352125,0.126536371,-0.091629786,-0.24,-0.28,9.52,0,0,0,1743569199.910422
86,0.227983634,0.044724062,-0.091629786,-0.18,-0.24,9.53,0,0,0,1743569199.926558
87,0.15380714,-0.033815754,-0.081812309,-0.06,-0.27,9.02,0,0,0,1743569199.939379
88,0.039269908,0.042542401,-0.091629786,0.02,-0.26,9.08,0,0,0,1743569199.9539385
89,-0.030543262,0.123263878,-0.110173909,0.29,0.12,10.23,0,0,0,1743569199.9680116
90,-0.017453293,0,-0.044724062,0.25,0.14,9.94,0,0,0,1743569199.980836
91,-0.011999139,-0.091629786,0.002181662,0.26,0.11,9.64,0,0,0,1743569199.993656
92,0.009817477,-0.078539816,0.006544985,-0.05,0.16,9.75,0,0,0,1743569200.0077915
93,0.061086524,-0.102538094,0.016362462,-0.15,0.2,9.7,0,0,0,1743569200.0211954
94,0.005454154,-0.080721478,0.025089108,-0.22,0.09,9.62,0,0,0,1743569200.0340176
95,-0.030543262,-0.040360739,0.007635815,-0.13,0.36,9.97,0,0,0,1743569200.047324
96,-0.009817477,-0.095993109,0.018544123,-0.25,0.37,9.83,0,0,0,1743569200.0601454
97,0,-0.176714587,0.06981317,-0.55,0,9.37,0,0,0,1743569200.0760636
98,0.049087385,-0.172351264,0.059995693,-0.48,0.12,8.97,0,0,0,1743569200.088894
99,0.039269908,-0.105810586,0.045814893,-0.47,0.16,8.85,0,0,0,1743569200.1042802
100,-0.007635815,-0.003272492,0.034906585,-0.63,-0.02,9.62,0,0,0,1743569200.1181731
101,-0.102538094,0.020725785,0.044724062,-0.61,-0.12,9.56,0,0,0,1743569200.130997
102,-0.082903139,-0.042542401,0.0283616,-0.46,-0.03,9.06,0,0,0,1743569200.1438265
103,-0.074176493,-0.033815754,0.002181662,-0.47,0.07,9.12,0,0,0,1743569200.1578584
104,-0.002181662,-0.056723201,-0.007635815,-0.38,0.11,9.06,0,0,0,1743569200.1715767
105,0.049087385,-0.038179077,-0.023998277,-0.25,0.24,9.31,0,0,0,1743569200.184395
106,0.089448124,-0.042542401,-0.047996554,-0.25,0.24,9.43,0,0,0,1743569200.1974065
107,0.128718032,-0.074176493,-0.06981317,-0.26,0.21,9.42,0,0,0,1743569200.2103987
108,0.117809725,-0.092720617,-0.056723201,-0.3,0.19,9.37,0,0,0,1743569200.2264187
109,0.070904001,-0.066540678,-0.046905724,-0.34,0.12,9.27,0,0,0,1743569200.2392414
110,0.091629786,-0.051269047,-0.058904862,-0.17,0.28,9.23,0,0,0,1743569200.2520647
111,0.109083078,-0.040360739,-0.057814031,-0.25,0.22,9.19,0,0,0,1743569200.2670066
112,0.151625479,-0.050178216,-0.062177355,-0.25,0.26,9.15,0,0,0,1743569200.279825
113,0.167987941,-0.025089108,-0.067631509,-0.26,0.31,9.38,0,0,0,1743569200.292644
114,0.172351264,0.006544985,-0.061086524,-0.28,0.23,9.67,0,0,0,1743569200.3072603
115,0.09708394,-0.025089108,-0.0141808,-0.33,0.02,9.62,0,0,0,1743569200.320079
116,0.122173048,-0.045814893,-0.009817477,-0.37,0.13,9.58,0,0,0,1743569200.3328986
117,0.145080494,-0.067631509,-0.0141808,-0.24,0.18,9.39,0,0,0,1743569200.3459005
118,-0.005454154,0.011999139,-0.0141808,-0.16,0.31,9.49,0,0,0,1743569200.3587205
119,-0.052359878,0.061086524,-0.022907446,-0.11,0.38,9.61,0,0,0,1743569200.3723876
120,-0.06981317,0.077448986,-0.021816616,-0.07,0.45,9.81,0,0,0,1743569200.3852115
121,-0.054541539,-0.017453293,0.004363323,-0.11,0.37,9.65,0,0,0,1743569200.3984272
122,-0.051269047,-0.053450708,0.008726646,-0.21,0.3,9.46,0,0,0,1743569200.4129488
123,-0.046905724,-0.059995693,0.016362462,-0.16,0.29,9.27,0,0,0,1743569200.4275322
124,-0.002181662,0.003272492,0.030543262,-0.21,0.18,9.34,0,0,0,1743569200.4404674
125,0.0141808,0.004363323,0.039269908,-0.16,0.19,9.36,0,0,0,1743569200.4560876
126,-0.003272492,-0.038179077,0.064359016,0,0.26,8.93,0,0,0,1743569200.4689083
127,-0.011999139,-0.034906585,0.071994832,0,0.22,8.95,0,0,0,1743569200.4817302
128,-0.008726646,-0.005454154,0.058904862,-0.02,0.18,8.99,0,0,0,1743569200.494556
129,0.054541539,0,0.049087385,-0.2,0.02,9.31,0,0,0,1743569200.5079544
130,0.082903139,-0.035997416,0.046905724,-0.2,0.04,9.19,0,0,0,1743569200.5207705
131,0.081812309,-0.02727077,0.042542401,-0.22,0.05,9.08,0,0,0,1743569200.5335941
132,0.039269908,0.0141808,0.053450708,-0.12,0.22,9.51,0,0,0,1743569200.5466383
133,0.0283616,0.010908308,0.043633231,-0.14,0.3,9.46,0,0,0,1743569200.5594687
134,0.019634954,0.004363323,0.047996554,-0.16,0.3,9.42,0,0,0,1743569200.5753257
135,-0.006544985,0.0141808,0.020725785,-0.17,0.44,9.58,0,0,0,1743569200.5883737
136,-0.017453293,0.010908308,0.032724923,-0.17,0.46,9.72,0,0,0,1743569200.6023068
137,-0.039269908,-0.004363323,0.038179077,-0.31,0.3,9.51,0,0,0,1743569200.6169374
138,-0.006544985,-0.025089108,0.047996554,-0.28,0.33,9.47,0,0,0,1743569200.6297588
139,0.019634954,-0.030543262,0.046905724,-0.32,0.33,9.44,0,0,0,1743569200.6425798
140,0.031634093,-0.033815754,0.044724062,-0.35,0.32,9.45,0,0,0,1743569200.6570344
141,0.019634954,-0.016362462,0.022907446,-0.32,0.27,9.65,0,0,0,1743569200.6698582
142,0.022907446,-0.039269908,0.021816616,-0.49,0.08,9.49,0,0,0,1743569200.682682
143,0.025089108,-0.090538955,-0.001090831,-0.42,0.14,9.23,0,0,0,1743569200.6956794
144,-0.035997416,-0.011999139,-0.005454154,-0.2,0.29,9.19,0,0,0,1743569201
145,-0.039269908,0.008726646,0.008726646,-0.3,0.15,9.38,0,0,0,1743569200.7235794
146,-0.045814893,0.001090831,0.0141808,-0.27,0.13,9.42,0,0,0,1743569200.7365732
147,-0.013089969,-0.04145157,-0.005454154,-0.25,0.07,9.06,0,0,0,1743569200.7494004
148,0.013089969,-0.042542401,-0.029452431,-0.21,0.17,9.01,0,0,0,1743569200.7652924
149,0.061086524,0.003272492,-0.057814031,-0.15,0.25,9.01,0,0,0,1743569200.7783942
150,0.056723201,0.022907446,-0.058904862,-0.14,0.36,9.12,0,0,0,1743569200.7912164
151,0.017453293,0.033815754,-0.032724923,-0.08,0.32,9.14,0,0,0,1743569200.806283
152,-0.022907446,0.020725785,-0.010908308,0.01,0.39,9.13,0,0,0,1743569200.8191035
153,-0.006544985,0.0283616,-0.009817477,-0.05,0.33,9.19,0,0,0,1743569200.8319228
154,-0.007635815,0.029452431,-0.005454154,-0.06,0.28,9.21,0,0,0,1743569200.8447409
155,0.031634093,0.044724062,-0.019634954,-0.13,0.34,9.22,0,0,0,1743569200.857954
156,0.037088247,0.043633231,0,-0.12,0.31,9.23,0,0,0,1743569200.8716502
157,0.040360739,0.046905724,-0.003272492,-0.07,0.34,9.41,0,0,0,1743569200.8844697
158,0.015271631,0.034906585,0.008726646,-0.23,0.25,9.63,0,0,0,1743569200.8978767
159,0.008726646,-0.026179939,0.013089969,-0.23,0.3,9.54,0,0,0,1743569200.9124842
160,0.050178216,-0.032724923,0.013089969,-0.3,0.24,9.39,0,0,0,1743569200.9270723
161,0.031634093,0.004363323,0.016362462,-0.28,0.31,9.43,0,0,0,1743569200.9398963
162,0.010908308,0.025089108,0.0141808,-0.35,0.22,9.46,0,0,0,1743569200.9547262
163,-0.015271631,0.046905724,0.005454154,-0.29,0.35,9.64,0,0,0,1743569200.9678648
164,-0.029452431,0.032724923,0,-0.31,0.32,9.66,0,0,0,1743569200.9806852
165,-0.046905724,0.005454154,0.003272492,-0.41,0.21,9.6,0,0,0,1743569200.9935052
166,-0.042542401,-0.020725785,-0.003272492,-0.34,0.2,9.3,0,0,0,1743569201.007346
167,-0.018544123,-0.008726646,-0.008726646,-0.32,0.12,9.2,0,0,0,1743569201.0215893
168,-0.004363323,0.010908308,-0.017453293,-0.28,0.22,9.2,0,0,0,1743569201.0344198
169,0.011999139,0.047996554,-0.022907446,-0.02,0.48,9.33,0,0,0,1743569201.047853
170,0.016362462,0.067631509,-0.015271631,-0.03,0.42,9.6,0,0,0,1743569201.0613022
171,0.051269047,0.033815754,0,-0.17,0.3,9.21,0,0,0,1743569201.076361
172,0.019634954,-0.019634954,0.004363323,-0.16,0.3,9.14,0,0,0,1743569201.0891821
173,0.011999139,0.003272492,-0.004363323,-0.19,0.35,9.09,0,0,0,1743569201.1050456
174,-0.001090831,0.067631509,0.007635815,-0.11,0.39,9.37,0,0,0,1743569201.1179078
175,0.0141808,0.059995693,0.013089969,-0.11,0.41,9.53,0,0,0,1743569201.130729
176,0.037088247,0.057814031,0.015271631,-0.22,0.4,9.72,0,0,0,1743569201.1435492
177,0.02727077,0.0141808,0.025089108,-0.27,0.27,9.39,0,0,0,1743569201.1572387
178,-0.006544985,-0.010908308,0.020725785,-0.28,0.22,9.31,0,0,0,1743569201.170482
179,-0.02727077,0.019634954,0.0141808,-0.11,0.26,9.38,0,0,0,1743569201.1833012
180,-0.029452431,0.039269908,0.007635815,0.12,0.32,9.47,0,0,0,1743569201.1963663
181,-0.058904862,0.081812309,0.016362462,0.22,0.21,9.53,0,0,0,1743569201.2091877
182,-0.065449847,0.101447263,0.017453293,0.45,0.38,9.73,0,0,0,1743569201.2250347
183,-0.100356432,0.127627202,0.046905724,0.52,0.33,9.97,0,0,0,1743569201.2378566
184,-0.090538955,0.105810586,0.05563237,0.56,0.24,10.29,0,0,0,1743569201.2530677
185,-0.02727077,0.006544985,0.064359016,0.89,0.51,9.16,0,0,0,1743569201.2669797
186,-0.007635815,-0.109083078,0.052359878,0.55,0.48,9.14,0,0,0,1743569201.2798028
187,0.008726646,-0.100356432,0.114537232,0.91,0.44,8.75,0,0,0,1743569201.292621
188,0.043633231,-0.092720617,0.11126474,0.96,0.36,8.89,0,0,0,1743569201.3067534
189,0.045814893,0.013089969,0.137444679,0.69,0.17,9,0,0,0,1743569201.320055
190,0.073085662,0.045814893,0.163624617,0.58,0.27,8.73,0,0,0,1743569201.3328743
191,-0.025089108,0.038179077,0.186532064,0.31,0.6,9.22,0,0,0,1743569201.3459132
192,-0.093811447,0.112355571,0.260708557,-0.04,0.19,10.04,0,0,0,1743569201.358737
193,-0.025089108,0.107992247,0.321795081,0.09,0.33,9.98,0,0,0,1743569201
194,0.031634093,-0.100356432,0.363246651,-0.13,0.17,9.84,0,0,0,1743569201.3875537
195,0.02727077,-0.165806279,0.350156681,-0.41,0.29,9.24,0,0,0,1743569201.4020088
196,0.007635815,-0.197440372,0.356701666,-0.52,0.3,8.79,0,0,0,1743569201.4164026
197,-0.117809725,-0.049087385,0.346884189,-0.61,0.28,8.77,0,0,0,1743569201.4292228
198,-0.136353848,0.051269047,0.322885912,-0.91,0.27,9.33,0,0,0,1743569201.4420462
199,-0.142898833,0.12544554,0.339248373,-1.18,0.06,9.65,0,0,0,1743569201.456361
200,-0.046905724,-0.011999139,0.307614281,-1.04,0.39,9.84,0,0,0,1743569201.469496
201,-0.040360739,-0.035997416,0.251981911,-1.14,0.44,9.86,0,0,0,1743569201.4823205
202,-0.040360739,-0.124354709,0.229074464,-1.2,0.38,9.25,0,0,0,1743569201.4956596
203,-0.022907446,-0.217075326,0.206167018,-1.06,0.53,8.85,0,0,0,1743569201.508477
204,0.008726646,-0.145080494,0.19525871,-1.14,0.41,8.7,0,0,0,1743569202
205,0.018544123,0.029452431,0.141808002,-1.13,0.49,9.27,0,0,0,1743569201.5372021
206,0.030543262,0.110173909,0.114537232,-1.25,0.35,9.38,0,0,0,1743569201.5514657
207,0.038179077,0.063268185,0.107992247,-1.35,0.17,9.3,0,0,0,1743569201.5660913
208,0.071994832,0.010908308,0.066540678,-1.31,0.11,9.32,0,0,0,1743569201.5789237
209,0.044724062,0.047996554,0.033815754,-1.4,-0.01,9.81,0,0,0,1743569201.5917454
210,0.033815754,0.077448986,-0.007635815,-1.28,-0.03,9.5,0,0,0,1743569201.6062748
211,-0.090538955,-0.016362462,-0.029452431,-1.16,0.05,9.55,0,0,0,1743569201.619544
212,-0.09708394,0.019634954,-0.06981317,-1.01,0.11,9.62,0,0,0,1743569201.6323714
213,-0.062177355,0.011999139,-0.09708394,-0.79,0.33,9.84,0,0,0,1743569201.6453872
214,0.019634954,-0.092720617,-0.020725785,-0.97,0.22,9.39,0,0,0,1743569201.658209
215,0.033815754,-0.143989663,-0.033815754,-0.93,0.27,9.18,0,0,0,1743569201.6738856
216,-0.030543262,0.010908308,-0.105810586,-0.64,0.56,9.45,0,0,0,1743569201.686954
217,-0.073085662,0.007635815,-0.112355571,-0.6,0.4,9.37,0,0,0,1743569201.7011442
218,-0.085084801,0.020725785,-0.137444679,-0.65,0.61,9.14,0,0,0,1743569201.7157817
219,-0.0283616,0.003272492,-0.197440372,-0.53,0.83,8.81,0,0,0,1743569201.7286005
220,-0.095993109,0.013089969,-0.183259571,-0.4,0.63,9.14,0,0,0,1743569202
221,-0.092720617,0.093811447,-0.12544554,-0.48,0.52,8.79,0,0,0,1743569201.7558992
