Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
0,-0.08399397025222712,0.04908738521234052,0.284706834231575,-8.76,2.19,1.41,23.0625,14.1875,-39.5625,1746516855.0737684
1,-0.017453292519943295,0.018544123302439753,0.07308566242726255,-9.09,1.81,1.29,23.0625,14.1875,-39.5625,1746516855.09312
2,-0.01090830782496456,0.09708393964218458,0.018544123302439753,-9.19,2.04,1.35,21.1875,13.5,-36.6875,1746516855.1097677
3,-0.04254240051736178,0.16907877128695067,0.0818123086872342,-9.0,2.27,1.37,21.1875,13.5,-36.6875,1746516855.1329637
4,-0.02945243112740431,0.14508049407202864,0.04363323129985824,-9.07,2.2600000000000002,1.3800000000000001,21.1875,13.5,-36.6875,1746516855.149793
5,-0.001090830782496456,0.12326387842209953,-0.006544984694978736,-9.290000000000001,2.22,1.25,23.0625,13.75,-36.25,1746516855.1728015
6,0.007635815477475192,0.15926129424448257,0.037088246604879506,-8.85,2.33,1.23,23.0625,13.75,-36.25,1746516855.1931393
7,0.0545415391248228,0.1341721862470641,-0.0916297857297023,-8.67,2.32,1.25,23.75,13.75,-38.375,1746516855.2099538
8,0.10253809355466686,0.16798794050445423,-0.24980024919168842,-9.13,2.22,0.97,23.75,13.75,-38.375,1746516855.2328012
9,0.05890486225480862,0.27052603405912107,-0.27598018797160334,-9.5,2.37,0.9,23.75,13.75,-38.375,1746516855.2507396
10,-0.025089107997418487,0.33815754257390135,-0.21380283336930536,-9.61,2.2800000000000002,1.01,22.25,13.75,-35.875,1746516855.273268
11,-0.038179077387375956,0.29888763440402893,-0.18762289458939044,-9.5,2.15,0.98,22.25,13.75,-35.875,1746516855.293341
12,0.014180800172453928,0.19525871006686563,-0.2279836335417593,-9.59,1.82,0.93,23.75,14.5,-37.1875,1746516855.3107128
13,0.04799655442984406,0.16253378659197193,-0.15926129424448257,-10.02,2.16,0.92,23.75,14.5,-37.1875,1746516855.3332143
14,0.04145156973486533,0.11780972450961724,-0.04036073895236887,-10.11,2.13,0.9,23.75,14.5,-37.1875,1746516855.3510134
15,-0.04036073895236887,0.003272492347489368,0.10799224746714914,-9.78,2.04,0.87,22.6875,14.0625,-36.6875,1746516855.373068
16,-0.07853981633974483,-0.16471544815696484,0.20725784867432664,-9.42,1.96,1.04,22.6875,14.0625,-36.6875,1746516855.3934858
17,-0.05235987755982989,-0.2923426497090502,0.2879793265790644,-9.32,2.0300000000000002,1.12,22.6875,14.5,-37.1875,1746516855.4113238
18,0.007635815477475192,-0.3108867730114899,0.32179508083645453,-8.97,2.2600000000000002,1.03,22.6875,14.5,-37.1875,1746516855.4331577
19,0.04799655442984406,-0.23561944901923448,0.29343348049154666,-9.01,2.27,1.0,22.6875,14.5,-37.1875,1746516855.4513276
20,0.03490658503988659,-0.07526732399225546,0.2628902185816459,-8.65,2.27,1.11,23.75,15.5625,-36.25,1746516855.4732316
21,0.004363323129985824,0.018544123302439753,0.16035212502697901,-8.59,2.2,1.12,23.75,15.5625,-36.25,1746516855.4933991
22,0.01090830782496456,0.022907446432425576,-0.020725784867432664,-8.790000000000001,2.16,1.08,22.6875,13.5,-37.1875,1746516855.5117629
23,0.02945243112740431,0.03599741582238305,-0.1341721862470641,-9.4,2.4,1.03,22.6875,13.5,-37.1875,1746516855.5331106
24,0.0272707695624114,0.08726646259971647,-0.12544553998709243,-9.48,2.49,1.0,24.0625,13.5,-37.1875,1746516855.5516129
25,-0.02181661564992912,0.12762720155208535,-0.028361600344907856,-9.42,2.34,0.9400000000000001,24.0625,13.5,-37.1875,1746516855.5733564
26,-0.06326818538479445,0.08072147790473774,0.044724062082354694,-9.21,2.35,1.04,24.0625,13.5,-37.1875,1746516855.5935066
27,-0.05126904677733343,0.006544984694978736,0.08726646259971647,-9.13,2.3000000000000003,1.02,23.75,15.5625,-37.5,1746516855.6120524
28,-0.019634954084936207,-0.0719948316447661,0.04908738521234052,-9.55,2.37,1.01,23.75,15.5625,-37.5,1746516855.6331294
29,-0.020725784867432664,-0.0818123086872342,0.0818123086872342,-9.48,2.36,0.88,23.0625,12.25,-37.5,1746516855.6520605
30,-0.061086523819801536,-0.07308566242726255,0.1341721862470641,-9.08,2.38,1.2,23.0625,12.25,-37.5,1746516855.673351
31,-0.07744898555724837,-0.08290313946973066,0.10253809355466686,-9.08,2.37,1.3800000000000001,23.0625,12.25,-37.5,1746516855.6934178
32,-0.038179077387375956,-0.04690572364734761,0.03490658503988659,-9.290000000000001,2.27,0.92,23.75,13.75,-37.1875,1746516855.712473
33,0.01090830782496456,0.025089107997418487,0.013089969389957472,-9.19,2.23,0.8300000000000001,23.75,13.75,-37.1875,1746516855.7332218
34,-0.022907446432425576,0.05672320068981571,0.04799655442984406,-9.27,2.27,1.1300000000000001,23.75,14.5,-36.25,1746516855.7524538
35,-0.0545415391248228,0.008726646259971648,0.018544123302439753,-9.21,2.41,1.24,23.75,14.5,-36.25,1746516855.773361
36,0.04254240051736178,-0.016362461737446838,-0.008726646259971648,-9.08,2.39,1.1,23.75,14.5,-36.25,1746516855.793513
37,0.06544984694978735,-0.022907446432425576,-0.02945243112740431,-9.24,2.4,0.93,23.375,13.0625,-35.875,1746516855.8129303
38,0.028361600344907856,0.026179938779914945,-0.009817477042468103,-9.25,2.5100000000000002,1.01,23.375,13.0625,-35.875,1746516855.8331983
39,0.006544984694978736,0.044724062082354694,-0.00545415391248228,-9.290000000000001,2.52,0.99,24.0625,13.5,-37.1875,1746516855.8527865
40,-0.037088246604879506,0.018544123302439753,-0.006544984694978736,-9.28,2.43,1.06,24.0625,13.5,-37.1875,1746516855.8733149
41,-0.0545415391248228,-0.04254240051736178,-0.009817477042468103,-9.25,2.32,1.09,24.0625,13.5,-37.1875,1746516855.8937085
42,-0.06544984694978735,-0.05999569303730508,0.011999138607461015,-9.26,2.39,1.2,22.25,13.75,-36.25,1746516855.9131415
43,-0.061086523819801536,-0.030543261909900768,0.037088246604879506,-9.39,2.44,1.06,22.25,13.75,-36.25,1746516855.9332628
44,-0.05890486225480862,0.009817477042468103,0.11344640137963143,-9.450000000000001,2.41,1.12,23.0625,13.0625,-37.1875,1746516855.9530978
45,-0.037088246604879506,0.019634954084936207,0.1734420944169365,-9.08,2.39,1.33,23.0625,13.0625,-37.1875,1746516855.9733849
46,0.006544984694978736,-0.019634954084936207,0.1265363707695889,-8.71,2.3000000000000003,1.24,23.0625,13.0625,-37.1875,1746516855.9935598
47,0.03381575425739013,-0.07526732399225546,-0.013089969389957472,-8.86,2.29,0.96,24.5,14.1875,-36.6875,1746516856.0133142
48,0.04036073895236887,-0.04036073895236887,-0.07417649320975901,-9.32,2.43,1.02,24.5,14.1875,-36.6875,1746516856.0332294
49,0.013089969389957472,0.03381575425739013,-0.08290313946973066,-9.53,2.59,1.08,21.875,14.5,-37.1875,1746516856.0532718
50,-0.015271630954950384,0.09053895494720585,-0.01090830782496456,-9.35,2.54,1.16,21.875,14.5,-37.1875,1746516856.0735438
51,-0.003272492347489368,0.032724923474893676,-0.014180800172453928,-9.19,2.44,1.1500000000000001,21.875,14.5,-37.1875,1746516856.0936344
52,0.014180800172453928,-0.039269908169872414,-0.02945243112740431,-9.23,2.2800000000000002,1.1,23.75,13.5,-36.6875,1746516856.1136513
53,0.03599741582238305,-0.004363323129985824,-0.003272492347489368,-9.19,2.46,1.1300000000000001,23.75,13.5,-36.6875,1746516856.133613
54,0.0272707695624114,0.07744898555724837,-0.003272492347489368,-9.16,2.52,1.03,24.0625,14.5,-37.1875,1746516856.1536546
55,-0.025089107997418487,0.09599310885968812,-0.020725784867432664,-9.35,2.54,0.98,24.0625,14.5,-37.1875,1746516856.1740983
56,-0.05126904677733343,0.08835729338221293,0.022907446432425576,-9.18,2.44,1.11,24.0625,14.5,-37.1875,1746516856.196779
57,-0.030543261909900768,0.0272707695624114,0.013089969389957472,-9.15,2.38,1.03,22.25,13.75,-35.875,1746516856.2140157
58,-0.018544123302439753,-0.02945243112740431,0.009817477042468103,-9.18,2.36,1.02,22.25,13.75,-35.875,1746516856.2347662
59,-0.004363323129985824,-0.050178215994836975,0.003272492347489368,-9.49,2.43,1.0,24.5,13.5,-37.5,1746516856.2540228
60,-0.032724923474893676,-0.031634092692397225,0.0545415391248228,-9.53,2.5,1.02,24.5,13.5,-37.5,1746516856.2753656
61,-0.07526732399225546,-0.038179077387375956,0.12435470920459599,-9.44,2.49,1.09,24.5,13.5,-37.5,1746516856.294371
62,-0.08617563181722002,-0.07417649320975901,0.1712604328519436,-9.11,2.42,1.18,23.75,14.1875,-37.5,1746516856.3145473
63,-0.044724062082354694,-0.11780972450961724,0.136353847812057,-8.91,2.41,1.2,23.75,14.1875,-37.5,1746516856.3364644
64,0.01090830782496456,-0.0818123086872342,0.06763150851478027,-9.03,2.4,1.08,22.25,12.25,-35.875,1746516856.3543804
65,0.007635815477475192,0.0272707695624114,0.04363323129985824,-9.01,2.5100000000000002,1.1500000000000001,22.25,12.25,-35.875,1746516856.3757484
66,-0.015271630954950384,0.07090400086226964,0.018544123302439753,-9.01,2.58,1.1300000000000001,22.25,12.25,-35.875,1746516856.3947718
67,-0.00545415391248228,0.06435901616729091,-0.025089107997418487,-8.93,2.58,1.1300000000000001,24.0625,13.0625,-38.0,1746516856.4148018
68,0.022907446432425576,0.0545415391248228,-0.06326818538479445,-8.91,2.57,1.01,24.0625,13.0625,-38.0,1746516856.4364922
69,0.03381575425739013,0.06435901616729091,-0.09926560120717749,-9.08,2.54,0.96,21.5625,13.5,-37.5,1746516856.4547415
70,-0.001090830782496456,0.09053895494720585,-0.11126473981463851,-9.4,2.65,1.0,21.5625,13.5,-37.5,1746516856.4775498
71,-0.04254240051736178,0.11671889372712078,-0.06654067773228381,-9.42,2.61,1.05,21.5625,13.5,-37.5,1746516856.4950967
72,-0.04363323129985824,0.09272061651219876,-0.022907446432425576,-9.450000000000001,2.5500000000000003,1.03,22.6875,12.0,-35.5,1746516856.517964
73,-0.031634092692397225,0.06435901616729091,0.025089107997418487,-9.28,2.46,1.09,22.6875,12.0,-35.5,1746516856.537652
74,-0.019634954084936207,0.025089107997418487,0.02945243112740431,-9.42,2.38,0.97,24.5,13.0625,-38.0,1746516856.555134
75,-0.04036073895236887,-0.020725784867432664,0.06654067773228381,-9.56,2.47,1.05,24.5,13.0625,-38.0,1746516856.5775886
76,-0.05999569303730508,-0.06217735460229799,0.11671889372712078,-9.540000000000001,2.52,1.21,24.5,13.0625,-38.0,1746516856.5955052
77,-0.039269908169872414,-0.08399397025222712,0.16798794050445423,-9.09,2.54,1.31,22.25,14.1875,-36.25,1746516856.6179862
78,0.014180800172453928,-0.11235557059713497,0.12762720155208535,-8.98,2.43,1.02,22.25,14.1875,-36.25,1746516856.6388643
79,0.022907446432425576,-0.0916297857297023,0.07853981633974483,-8.73,2.43,0.96,23.375,12.6875,-36.25,1746516856.6554883
80,0.002181661564992912,-0.032724923474893676,-0.00545415391248228,-8.99,2.5,1.07,23.375,12.6875,-36.25,1746516856.67872
81,0.006544984694978736,0.06763150851478027,-0.05126904677733343,-9.08,2.66,1.17,23.375,12.6875,-36.25,1746516856.6958828
82,0.006544984694978736,0.09708393964218458,-0.07417649320975901,-9.17,2.69,1.02,24.0625,13.75,-37.5,1746516856.7179894
83,-0.007635815477475192,0.0545415391248228,-0.0719948316447661,-9.120000000000001,2.64,0.99,24.0625,13.75,-37.5,1746516856.738782
84,-0.01090830782496456,-0.009817477042468103,-0.06763150851478027,-9.14,2.6,0.9500000000000001,23.0625,13.5,-36.6875,1746516856.7558513
85,-0.00545415391248228,-0.04363323129985824,-0.05235987755982989,-9.38,2.57,0.97,23.0625,13.5,-36.6875,1746516856.7786913
86,-0.019634954084936207,-0.019634954084936207,0.008726646259971648,-9.46,2.61,1.1,23.0625,13.5,-36.6875,1746516856.7961774
87,-0.05890486225480862,-0.014180800172453928,0.05890486225480862,-9.28,2.61,1.08,24.0625,12.0,-37.1875,1746516856.817826
88,-0.07635815477475191,-0.07417649320975901,0.06217735460229799,-9.02,2.47,1.2,24.0625,12.0,-37.1875,1746516856.838968
89,-0.026179938779914945,-0.1439896632895322,-0.003272492347489368,-9.31,2.4,1.18,23.0625,12.6875,-38.0,1746516856.8562202
90,0.020725784867432664,-0.10362892433716332,0.02181661564992912,-9.35,2.52,1.11,23.0625,12.6875,-38.0,1746516856.8788896
91,0.02399827721492203,-0.025089107997418487,0.07744898555724837,-9.19,2.65,1.3,23.0625,12.6875,-38.0,1746516856.8965647
92,0.007635815477475192,0.007635815477475192,0.10362892433716332,-9.09,2.57,1.31,23.0625,13.875,-35.5,1746516856.9184713
93,0.018544123302439753,-0.00545415391248228,0.07963064712224129,-8.9,2.5100000000000002,1.24,23.0625,13.875,-35.5,1746516856.938969
94,0.0272707695624114,-0.05672320068981571,0.018544123302439753,-8.88,2.5100000000000002,1.16,23.375,12.6875,-37.1875,1746516856.956785
95,0.04036073895236887,-0.07853981633974483,-0.055632369907319255,-9.19,2.57,1.03,23.375,12.6875,-37.1875,1746516856.9789422
