Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
1802,-0.1538071403320003,-0.050178215994836975,-0.21598449493429828,-9.120000000000001,2.0,2.09,25.875,2.375,-38.1875,1746516943.2932193
1803,-0.17235126363444003,-0.16580627893946132,-0.34143003492139073,-9.31,1.92,2.17,25.875,2.375,-38.1875,1746516943.3136485
1804,-0.14289883250703572,-0.1930770485018727,-0.385063266221249,-9.93,2.22,2.4,24.0,3.875,-36.875,1746516943.333351
1805,-0.06872233929727672,-0.10144726277217041,-0.22252947962927702,-9.86,2.21,2.42,24.0,3.875,-36.875,1746516943.35342
1806,0.015271630954950384,-0.04363323129985824,-0.14726215563702155,-9.8,2.14,2.46,23.25,3.5,-38.1875,1746516943.3732388
1807,0.09599310885968812,-0.006544984694978736,-0.0719948316447661,-9.69,2.0300000000000002,2.24,23.25,3.5,-38.1875,1746516943.3932765
1808,0.15489797111449674,-0.00545415391248228,-0.04690572364734761,-9.69,1.97,2.12,23.25,3.5,-38.1875,1746516943.4136355
1809,0.14289883250703572,0.004363323129985824,-0.038179077387375956,-9.8,1.99,1.93,23.0,2.0625,-38.1875,1746516943.4335542
1810,0.05999569303730508,0.044724062082354694,-0.018544123302439753,-9.75,1.96,1.86,23.0,2.0625,-38.1875,1746516943.4545352
1811,-0.0818123086872342,0.05345070834232634,-0.07308566242726255,-9.46,2.02,2.06,23.0,3.875,-35.6875,1746516943.473754
1812,-0.22143864884678055,-0.039269908169872414,-0.18653206380689397,-9.55,1.81,2.09,23.0,3.875,-35.6875,1746516943.4945745
1813,-0.28361600344907856,-0.1439896632895322,-0.22252947962927702,-9.84,1.7,2.1,23.0,3.875,-35.6875,1746516943.514102
1814,-0.2585268954516601,-0.1439896632895322,-0.14508049407202864,-10.01,1.7,2.09,24.75,3.0625,-38.1875,1746516943.5347476
1815,-0.18544123302439752,-0.08290313946973066,0.004363323129985824,-9.81,1.77,2.19,24.75,3.0625,-38.1875,1746516943.5555112
1816,-0.14508049407202864,-0.05890486225480862,0.04254240051736178,-9.700000000000001,1.87,2.41,24.375,5.25,-37.75,1746516943.574071
1817,-0.13308135546456762,-0.07963064712224129,0.044724062082354694,-9.57,1.81,2.48,24.375,5.25,-37.75,1746516943.5956264
1818,-0.1189005552921137,-0.15817046346198613,0.007635815477475192,-9.43,1.69,2.44,24.375,5.25,-37.75,1746516943.614472
1819,-0.08290313946973066,-0.20180369476184434,-0.020725784867432664,-9.66,1.67,2.36,24.0,5.6875,-38.5625,1746516943.634842
1820,-0.025089107997418487,-0.12762720155208535,0.08944812416470939,-9.540000000000001,1.8800000000000001,2.48,24.0,5.6875,-38.5625,1746516943.6555262
1821,0.05345070834232634,-0.004363323129985824,0.21925698728178766,-9.34,1.9000000000000001,2.49,22.1875,4.25,-37.75,1746516943.6744394
1822,0.12871803233458182,0.09926560120717749,0.28688849579656794,-9.13,1.8900000000000001,2.49,22.1875,4.25,-37.75,1746516943.6968265
1823,0.17235126363444003,0.136353847812057,0.25743606466916363,-9.05,1.78,2.36,22.1875,4.25,-37.75,1746516943.7148058
1824,0.18435040224190105,0.1308996938995747,0.21707532571679475,-8.81,1.79,2.32,22.1875,5.0,-37.75,1746516943.7378979
1825,0.2083486794568231,0.06763150851478027,0.09817477042468103,-8.66,1.85,2.19,22.1875,5.0,-37.75,1746516943.7579784
1826,0.24216443371421323,0.04254240051736178,-0.06217735460229799,-9.0,1.79,2.04,23.6875,4.25,-36.6875,1746516943.7748225
1827,0.2378011105842274,0.11126473981463851,-0.07963064712224129,-9.34,1.8800000000000001,1.9000000000000001,23.6875,4.25,-36.6875,1746516943.7979586
1828,0.21598449493429828,0.22252947962927702,-0.01090830782496456,-9.370000000000001,2.05,1.99,23.6875,4.25,-36.6875,1746516943.8152723
1829,0.21707532571679475,0.29561514205653955,0.0545415391248228,-9.38,2.1,2.04,24.375,3.5,-37.5,1746516943.8384066
1830,0.2279836335417593,0.33815754257390135,0.05781403147231216,-9.52,2.1,1.92,24.375,3.5,-37.5,1746516943.8584156
1831,0.21925698728178766,0.35561083509384467,0.09272061651219876,-9.42,2.13,1.85,25.1875,4.5625,-38.25,1746516943.8753636
1832,0.17562375598192942,0.2628902185816459,0.06435901616729091,-9.39,2.0,1.74,25.1875,4.5625,-38.25,1746516943.8981502
1833,0.09490227807719166,0.11453723216212788,0.007635815477475192,-9.53,2.0,1.68,25.1875,4.5625,-38.25,1746516943.9156642
1834,0.039269908169872414,0.01090830782496456,0.04908738521234052,-9.72,2.23,1.69,24.0,3.5,-36.6875,1746516943.9381638
1835,0.031634092692397225,-0.03381575425739013,0.1265363707695889,-9.97,2.31,1.7,24.0,3.5,-36.6875,1746516943.9595144
