Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
554,0.0,0.006544984694978736,0.015271630954950384,5.72,-4.26,6.5,-21.1875,39.75,3.1875,1745904752.8095353
555,-0.022907446432425576,-0.001090830782496456,-0.00545415391248228,5.72,-4.2700000000000005,6.53,-21.1875,39.75,3.1875,1745904752.8291168
556,-0.016362461737446838,-0.013089969389957472,-0.008726646259971648,5.72,-4.36,6.57,-21.1875,39.75,3.1875,1745904752.8460524
557,-0.006544984694978736,-0.007635815477475192,0.0,5.73,-4.38,6.5,-21.1875,40.0625,2.375,1745904752.8690736
558,-0.003272492347489368,0.004363323129985824,-0.004363323129985824,5.73,-4.36,6.57,-21.1875,40.0625,2.375,1745904752.8893166
559,-0.01090830782496456,0.0,-0.004363323129985824,5.71,-4.36,6.5600000000000005,-20.875,39.375,2.75,1745904752.9092681
560,-0.014180800172453928,-0.016362461737446838,-0.00545415391248228,5.72,-4.4,6.6000000000000005,-20.875,39.375,2.75,1745904752.9287946
561,-0.011999138607461015,-0.026179938779914945,-0.002181661564992912,5.72,-4.45,6.57,-20.875,39.375,2.75,1745904752.9461203
562,-0.01090830782496456,-0.018544123302439753,0.01090830782496456,5.82,-4.48,6.5200000000000005,-20.875,39.75,2.75,1745904752.969214
563,-0.002181661564992912,0.008726646259971648,0.016362461737446838,5.82,-4.48,6.53,-20.875,39.75,2.75,1745904752.9896047
564,0.016362461737446838,0.018544123302439753,0.004363323129985824,5.76,-4.39,6.59,-20.875,39.75,3.5625,1745904753.0095646
565,0.018544123302439753,0.003272492347489368,-0.008726646259971648,5.75,-4.33,6.51,-20.875,39.75,3.5625,1745904753.0292032
566,0.016362461737446838,-0.015271630954950384,0.0,5.78,-4.33,6.55,-20.875,39.75,3.5625,1745904753.0479157
567,0.003272492347489368,-0.01090830782496456,0.016362461737446838,5.7700000000000005,-4.28,6.46,-20.5,40.0625,2.375,1745904753.0693052
568,-0.013089969389957472,0.026179938779914945,0.01090830782496456,5.78,-4.29,6.43,-20.5,40.0625,2.375,1745904753.0894644
569,-0.004363323129985824,0.014180800172453928,-0.01090830782496456,5.7700000000000005,-4.23,6.61,-22.0,39.75,2.75,1745904753.1094546
