Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,0,0,0.005454154,-0.3,-0.26,9.38,0,0,0
2,0,0.001090831,0,-0.31,-0.26,9.38,0,0,0
3,0,-0.001090831,0,-0.3,-0.28,9.39,0,0,0
4,0.002181662,0,-0.001090831,-0.32,-0.22,9.39,0,0,0
5,-0.001090831,-0.008726646,0.001090831,-0.31,-0.24,9.38,0,0,0
6,0,0,0,-0.29,-0.25,9.41,0,0,0
7,0.001090831,-0.001090831,-0.003272492,-0.3,-0.25,9.41,0,0,0
8,0.001090831,0.002181662,-0.002181662,-0.33,-0.25,9.36,0,0,0
9,-0.002181662,-0.002181662,0,-0.33,-0.24,9.39,0,0,0
10,0.001090831,-0.003272492,0,-0.3,-0.26,9.39,0,0,0
11,0,-0.002181662,0,-0.32,-0.23,9.42,0,0,0
12,0.001090831,-0.002181662,-0.001090831,-0.3,-0.23,9.37,0,0,0
13,0,-0.002181662,0.001090831,-0.3,-0.25,9.39,0,0,0
14,-0.001090831,-0.001090831,0.001090831,-0.32,-0.25,9.43,0,0,0
15,0,-0.005454154,-0.001090831,-0.31,-0.25,9.41,0,0,0
16,0,-0.002181662,0,-0.32,-0.25,9.38,0,0,0
17,0.001090831,-0.001090831,-0.001090831,-0.33,-0.25,9.39,0,0,0
18,-0.001090831,-0.002181662,-0.001090831,-0.3,-0.26,9.41,0,0,0
19,-0.001090831,-0.002181662,0,-0.29,-0.23,9.39,0,0,0
20,0.002181662,-0.005454154,0.001090831,-0.32,-0.24,9.4,0,0,0
21,0,-0.002181662,0,-0.31,-0.24,9.4,0,0,0
22,-0.001090831,-0.001090831,-0.001090831,-0.33,-0.25,9.39,0,0,0
23,0.002181662,-0.001090831,0,-0.3,-0.25,9.36,0,0,0
24,0.001090831,-0.001090831,0,-0.3,-0.27,9.39,0,0,0
25,-0.001090831,-0.003272492,-0.001090831,-0.32,-0.22,9.39,0,0,0
26,0,-0.002181662,0.001090831,-0.28,-0.24,9.39,0,0,0
27,-0.001090831,-0.002181662,0,-0.32,-0.23,9.4,0,0,0
28,0.001090831,0.001090831,-0.002181662,-0.32,-0.25,9.41,0,0,0
29,-0.001090831,0,-0.001090831,-0.32,-0.23,9.36,0,0,0
30,-0.001090831,-0.002181662,0,-0.32,-0.26,9.38,0,0,0
31,0,-0.004363323,0,-0.29,-0.25,9.4,0,0,0
32,0.001090831,-0.001090831,0.001090831,-0.28,-0.25,9.42,0,0,0
33,0,0,0,-0.29,-0.25,9.42,0,0,0
34,0.001090831,-0.003272492,0.003272492,-0.3,-0.22,9.4,0,0,0
35,0.001090831,-0.001090831,-0.001090831,-0.34,-0.24,9.39,0,0,0
36,-0.002181662,-0.002181662,-0.001090831,-0.33,-0.24,9.38,0,0,0
37,-0.002181662,0.001090831,-0.002181662,-0.31,-0.25,9.39,0,0,0
38,-0.001090831,-0.002181662,-0.001090831,-0.3,-0.22,9.4,0,0,0
39,-0.001090831,0,0.001090831,-0.3,-0.23,9.4,0,0,0
40,-0.001090831,-0.002181662,0.001090831,-0.29,-0.23,9.41,0,0,0
41,0.002181662,-0.002181662,0,-0.32,-0.26,9.39,0,0,0
42,-0.001090831,-0.003272492,0.001090831,-0.31,-0.26,9.4,0,0,0
43,0,0,-0.001090831,-0.33,-0.27,9.39,0,0,0
44,0,-0.005454154,0,-0.31,-0.26,9.39,0,0,0
45,0,-0.002181662,0.001090831,-0.31,-0.25,9.38,0,0,0
46,0,-0.005454154,-0.001090831,-0.29,-0.24,9.44,0,0,0
47,0,-0.001090831,0,-0.29,-0.25,9.41,0,0,0
48,-0.001090831,-0.001090831,0.002181662,-0.3,-0.26,9.39,0,0,0
49,0.003272492,0,-0.002181662,-0.31,-0.25,9.4,0,0,0
50,0.001090831,-0.001090831,0,-0.31,-0.25,9.43,0,0,0
51,0,0.001090831,-0.002181662,-0.29,-0.26,9.42,0,0,0
52,-0.001090831,0.002181662,-0.001090831,-0.31,-0.26,9.39,0,0,0
53,0,0.002181662,-0.001090831,-0.31,-0.24,9.42,0,0,0
54,0.002181662,0,0,-0.31,-0.24,9.41,0,0,0
55,0.001090831,0.001090831,-0.001090831,-0.31,-0.24,9.38,0,0,0
56,0,0.001090831,0,-0.3,-0.24,9.39,0,0,0
57,0.001090831,0,0.001090831,-0.3,-0.26,9.41,0,0,0
58,0,0.002181662,-0.001090831,-0.29,-0.26,9.4,0,0,0
59,0,0.002181662,0,-0.32,-0.25,9.39,0,0,0
60,0,-0.001090831,0,-0.32,-0.23,9.38,0,0,0
61,0.001090831,0,0,-0.31,-0.23,9.39,0,0,0
62,-0.001090831,-0.002181662,-0.003272492,-0.3,-0.23,9.38,0,0,0
63,0.001090831,-0.003272492,-0.001090831,-0.31,-0.23,9.39,0,0,0
64,-0.001090831,0,0,-0.31,-0.25,9.43,0,0,0
65,-0.001090831,0.001090831,0.001090831,-0.31,-0.25,9.39,0,0,0
66,0,0.002181662,-0.002181662,-0.32,-0.27,9.39,0,0,0
67,-0.001090831,-0.003272492,0.001090831,-0.32,-0.24,9.41,0,0,0
68,0,-0.002181662,-0.001090831,-0.31,-0.25,9.39,0,0,0
69,-0.001090831,0,0.002181662,-0.29,-0.23,9.37,0,0,0
70,0.001090831,-0.001090831,0.001090831,-0.3,-0.24,9.4,0,0,0
71,0,-0.001090831,-0.001090831,-0.3,-0.22,9.38,0,0,0
72,0.001090831,0.002181662,0.001090831,-0.3,-0.22,9.4,0,0,0
73,0,0.001090831,-0.001090831,-0.33,-0.25,9.36,0,0,0
74,0.001090831,0,0.002181662,-0.29,-0.24,9.39,0,0,0
75,-0.001090831,0.002181662,-0.001090831,-0.3,-0.24,9.39,0,0,0
76,0.001090831,0.004363323,-0.003272492,-0.3,-0.24,9.4,0,0,0
77,0,0.011999139,-0.004363323,5.95,-4.97,9.36,0,0,0
78,0.008726646,0.020725785,-2.49582083,5.81,-2.21,9.29,0,0,0
79,0.010908308,-0.0141808,-4.792019628,2.43,-1.29,9.33,0,0,0
80,0.029452431,-0.206167018,-6.405358355,-2.85,-0.35,9.23,0,0,0
81,-0.06981317,-0.392699082,-5.552328683,-4.51,-0.11,9.43,0,0,0
82,-0.038179077,-0.11126474,-3.399028718,-4.5,1.63,9.37,0,0,0
83,0.015271631,0.004363323,0.938114473,-2.16,2.36,9.59,0,0,0
84,0.037088247,-0.061086524,2.143482488,-0.26,0.94,9.31,0,0,0
85,0.081812309,0.074176493,3.715369645,-0.94,-1.55,9.51,0,0,0
86,0.035997416,0.064359016,3.810271923,-0.82,-0.97,9.41,0,0,0
87,-0.004363323,0.026179939,3.664100598,-0.3,0.22,9.36,0,0,0
88,0.029452431,0.035997416,3.556108351,-0.28,-1.14,9.47,0,0,0
89,0.047996554,0.047996554,3.391392903,-0.36,-0.87,9.47,0,0,0
90,0.0141808,0.017453293,3.073961145,0.06,-0.25,9.3,0,0,0
91,0.013089969,-0.008726646,2.075850979,0.2,-0.61,9.38,0,0,0
92,-0.004363323,0.004363323,1.391900078,0.25,-0.68,9.4,0,0,0
93,0.009817477,0.003272492,0.582503638,-0.3,-0.19,9.42,0,0,0
94,-0.003272492,0.007635815,-0.062177355,-0.19,-0.22,9.4,0,0,0
95,-0.001090831,0,-0.002181662,-0.22,-0.26,9.36,0,0,0
96,0.001090831,0.001090831,0,-0.22,-0.25,9.38,0,0,0
97,0,0.005454154,-0.002181662,-0.23,-0.28,9.37,0,0,0
98,0.004363323,0.050178216,-0.005454154,-0.16,-0.26,9.37,0,0,0
99,0.003272492,0.094902278,-0.007635815,-0.22,-0.27,9.41,0,0,0
100,0.008726646,0.131990525,-0.011999139,-0.22,-0.23,9.39,0,0,0
101,0,0.146171325,-0.0283616,-0.36,-0.23,9.4,0,0,0
102,-0.001090831,0.094902278,-0.034906585,-0.36,-0.26,9.37,0,0,0
103,-0.004363323,0.046905724,-0.023998277,-0.33,-0.25,9.41,0,0,0
104,-0.001090831,0,-0.002181662,-0.29,-0.26,9.39,0,0,0
105,0,-0.017453293,0,-0.23,-0.25,9.39,0,0,0
106,0.001090831,0.029452431,-0.003272492,-0.29,-0.24,9.4,0,0,0
107,-0.001090831,0.043633231,-0.006544985,-0.34,-0.26,9.41,0,0,0
108,-0.004363323,0.042542401,-0.010908308,-0.32,-0.22,9.4,0,0,0
109,-0.001090831,0.001090831,-0.007635815,-0.32,-0.24,9.39,0,0,0
110,0.001090831,-0.003272492,-0.001090831,-0.32,-0.26,9.38,0,0,0
111,0.001090831,-0.001090831,-0.001090831,-0.29,-0.27,9.41,0,0,0
112,-0.001090831,-0.003272492,-0.002181662,-0.29,-0.26,9.41,0,0,0
113,0,-0.004363323,-0.002181662,-0.26,-0.24,9.4,0,0,0
114,0.003272492,-0.001090831,-0.002181662,-0.31,-0.24,9.4,0,0,0
115,0.001090831,-0.003272492,-0.001090831,-0.3,-0.25,9.39,0,0,0
116,0.001090831,0.001090831,-0.001090831,-0.33,-0.25,9.39,0,0,0
117,-0.002181662,-0.003272492,0.002181662,-0.3,-0.26,9.39,0,0,0
118,0.001090831,-0.002181662,0,-0.29,-0.24,9.42,0,0,0
119,-0.003272492,0.006544985,0.008726646,-0.35,-0.22,9.4,0,0,0
120,-0.008726646,0.016362462,0.063268185,-0.72,-0.26,9.41,0,0,0
121,-0.009817477,0.037088247,0.918479519,-1.17,-0.49,9.38,0,0,0
122,-0.043633231,0.071994832,1.202095522,-1.09,-0.17,9.4,0,0,0
123,-0.017453293,0.023998277,1.117010721,4.74,-0.03,9.26,0,0,0
124,0,0.021816616,1.174824753,-0.36,0.19,9.42,0,0,0
125,-0.032724923,0.043633231,1.011200135,-0.67,0.24,9.39,0,0,0
126,-0.033815754,0.047996554,0.832303887,-1.13,-0.21,9.39,0,0,0
127,0.007635815,0.011999139,0.088357293,-0.32,-0.33,9.36,0,0,0
128,0.008726646,-0.001090831,0.006544985,-0.42,-0.34,9.4,0,0,0
129,0.006544985,0.001090831,0.092720617,-0.22,-0.32,9.41,0,0,0
