Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (microteslas),Magnetometer Y (microteslas),Magnetometer Z (microteslas),Timestamp
0,0.009817477042468103,-0.015271630954950384,-0.009817477042468103,5.37,-2.27,7.83,-32.5625,39.0,-3.375,1745904685.2227745
1,0.011999138607461015,-0.03381575425739013,-0.001090830782496456,5.45,-2.2800000000000002,7.83,-32.5625,38.1875,-3.0625,1745904685.2392592
2,0.02181661564992912,-0.019634954084936207,0.003272492347489368,5.43,-2.29,7.74,-32.5625,38.1875,-3.0625,1745904685.2619019
3,0.007635815477475192,0.011999138607461015,0.013089969389957472,5.44,-2.19,7.87,-32.5625,38.1875,-3.0625,1745904685.2802143
4,0.004363323129985824,0.009817477042468103,-0.020725784867432664,5.38,-2.22,7.83,-32.5625,39.0,-4.25,1745904685.301757
5,0.001090830782496456,-0.016362461737446838,-0.002181661564992912,5.39,-2.19,7.79,-32.5625,39.0,-4.25,1745904685.322161
6,-0.009817477042468103,-0.013089969389957472,0.018544123302439753,5.41,-2.22,7.75,-33.0,39.0,-3.75,1745904685.341815
7,-0.037088246604879506,0.002181661564992912,-0.006544984694978736,5.42,-2.31,7.82,-33.0,39.0,-3.75,1745904685.361884
8,-0.04363323129985824,0.0,-0.017453292519943295,5.4,-2.43,7.7700000000000005,-33.0,39.0,-3.75,1745904685.3792863
9,-0.04254240051736178,-0.009817477042468103,0.008726646259971648,5.49,-2.45,7.82,-32.1875,38.5625,-4.25,1745904685.401818
10,0.003272492347489368,-0.011999138607461015,0.011999138607461015,5.49,-2.45,7.79,-32.1875,38.5625,-4.25,1745904685.4224567
11,0.039269908169872414,0.009817477042468103,-0.02181661564992912,5.4,-2.33,7.87,-33.25,38.5625,-4.25,1745904685.439484
12,0.055632369907319255,0.009817477042468103,-0.02399827721492203,5.36,-2.2800000000000002,7.8,-33.25,38.5625,-4.25,1745904685.4618497
13,0.016362461737446838,-0.008726646259971648,-0.003272492347489368,5.37,-2.22,7.78,-33.0,39.0,-3.0625,1745904685.4806802
